Compound;DrugClass;InChIKey;InChIKeyShort;SMILES
1-(3-Methylbenzyl)piperazine;Piperazine derivates;VTEOTZPEMDQENX-UHFFFAOYSA-N;VTEOTZPEMDQENX;CC1=CC(CN2CCNCC2)=CC=C1
1-(4-Bromo-2,5-dimethoxyphenyl)ethanamine;Phenethylamines;JKOMOTQHGDWZAQ-UHFFFAOYSA-N;JKOMOTQHGDWZAQ;BrC1=CC(=C(C=C1OC)C(C)N)OC
1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one;Cathinones;AJMXJSKPVFQDJF-UHFFFAOYSA-N;AJMXJSKPVFQDJF;CCCC(N1CCCCC1)C(C2=CC=C(F)C=C2)=O
1-(4-methylbenzyl) piperazine;Piperazine derivates;RNAXUUAJNMDESG-UHFFFAOYSA-N;RNAXUUAJNMDESG;CC1=CC=C(C=C1)CN2CCNCC2
1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one;Cathinones;DHZOVKWINAURCF-UHFFFAOYSA-N;DHZOVKWINAURCF;CC(N1CCCCC1)C(C2=CC=C(C)C=C2)=O
1,3-dimethylbutylamine;Unknown;UNBMPKNTYKDYCG-UHFFFAOYSA-N;UNBMPKNTYKDYCG;CC(CC(C)N)C
1,3-Indanedione;Unknown;UHKAJLSKXBADFT-UHFFFAOYSA-N;UHKAJLSKXBADFT;O=C1CC(C2=C1C=CC=C2)=O
1,4-Butanediol;Unknown;WERYXYBDKMZEQL-UHFFFAOYSA-N;WERYXYBDKMZEQL;OCCCCO
1,4-DMAA;Unknown;IZCBXLKODYZSDJ-UHFFFAOYSA-N;IZCBXLKODYZSDJ;CC(CCC(C)N)C
1-Aminoindan;Aminoindanes;XJEVHMGJSYVQBQ-UHFFFAOYSA-N;XJEVHMGJSYVQBQ;NC1CCC2=C1C=CC=C2
1B-LSD;Indolalkylamines;SVRFNPSJPIDUBC-DYESRHJHSA-N;SVRFNPSJPIDUBC;C(CCC)(=O)N1C=C2CC3N(CC(C=C3C3=CC=CC1=C32)C(=O)N(CC)CC)C
1cP-AL-LAD;Indolalkylamines;VSABTUDYQCMWKE-AUSIDOKSSA-N;VSABTUDYQCMWKE;C1(CC1)C(=O)N1C=C2C[C@H]3N(C[C@@H](C=C3C=3C=CC=C1C32)C(=O)N(CC)CC)CC=C
1cP-LSD;Indolalkylamines;RAFUPYYDHPFASC-DYESRHJHSA-N;RAFUPYYDHPFASC;CN1[C@](C2=C[C@@H](C(N(CC)CC)=O)C1)([H])CC3=CN(C(C4CC4)=O)C5=C3C2=CC=C5
1-Cyclohexylmethylindole;Indolalkylamines;HIOJKWCIURECFH-UHFFFAOYSA-N;HIOJKWCIURECFH;N1(CC2CCCCC2)C=CC3=C1C=CC=C3
1-cyclohexyl-x-methoxybenzene;Unknown;LFLKITSXQSAZJR-UHFFFAOYSA-N;LFLKITSXQSAZJR;COC1=CC(C2CCCCC2)=CC=C1
1-Demethylphenazolam;Benzodiazepines;HGHGSOBPNPCMHF-UHFFFAOYSA-N;HGHGSOBPNPCMHF;ClC1=CC=CC=C1C2=NCC3=NN=CN3C4=CC=C(Br)C=C24
1-Ethynyl-cyclohexanol (ECX);Unknown;QYLFHLNFIHBCPR-UHFFFAOYSA-N;QYLFHLNFIHBCPR;OC1(C#C)CCCCC1
1-Naphthoyl indole;Cannabinoids;QIXQGVQLBPQVOR-UHFFFAOYSA-N;QIXQGVQLBPQVOR;O=C(C1=CNC2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
1-Naphthyl-CP;Arylcyclohexylamines;VNGCZEMEKQTINU-UHFFFAOYSA-N;VNGCZEMEKQTINU;C1(=CC=CC2=CC=CC=C12)C1(CCCCC1)N1CCCCC1
1-PEA;Phenethylamines;RQEUFEKYXDPUSK-UHFFFAOYSA-N;RQEUFEKYXDPUSK;CC(C1=CC=CC=C1)N
1-Pentylindole;Indolalkylamines;QWLCOOAYMQWDPR-UHFFFAOYSA-N;QWLCOOAYMQWDPR;CCCCCN1C=CC2=C1C=CC=C2
1P-ETH-LAD;Indolalkylamines;MLOFCBXSOAYCIF-DYESRHJHSA-N;MLOFCBXSOAYCIF;O=C([C@H](C=C12)CN(CC)[C@]2([H])CC3=CN(C(CC)=O)C4=C3C1=CC=C4)N(CC)CC
1-phenethyl-4-hydroxypiperidene;Piperidines & pyrrolidines;KYGMSTKBHJVPJK-UHFFFAOYSA-N;KYGMSTKBHJVPJK;OC1CCN(CCC2=CC=CC=C2)CC1
1-phenyl-1-propanamine;Phenethylamines;AQFLVLHRZFLDDV-UHFFFAOYSA-N;AQFLVLHRZFLDDV;CCC(C1=CC=CC=C1)N
1-phenyl-2-(piperidin-1-yl)butan-1-one;Cathinones;VFLPICJWFQLLSY-UHFFFAOYSA-N;VFLPICJWFQLLSY;CCC(N1CCCCC1)C(C2=CC=CC=C2)=O
1-phenylbutan-2-amine;Unknown;IOLQWLOHKZENDW-UHFFFAOYSA-N;IOLQWLOHKZENDW;CCC(N)CC1=CC=CC=C1
1p-LSD;Indolalkylamines;JSMQOVGXBIDBIE-OXQOHEQNSA-N;JSMQOVGXBIDBIE;C(C)N(C(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4N(C3)C(CC)=O)C)CC
1V-LSD;Indolalkylamines;GIIBVGJWUZNECE-XMSQKQJNSA-N;GIIBVGJWUZNECE;C(C)N(C(=O)[C@H]1CN(C)[C@@H]2CC3=CN(C4=CC=CC(C2=C1)=C34)C(CCCC)=O)CC
2-(1H-indol-3-yl)-N,N-dipropylacetamide;Indolalkylamines;AEPJTCZBIULDTE-UHFFFAOYSA-N;AEPJTCZBIULDTE;O=C(N(CCC)CCC)CC1=CNC2=C1C=CC=C2
2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethanamine;Phenethylamines;MMGNHVNVOURGOB-UHFFFAOYSA-N;MMGNHVNVOURGOB;COC1=C(OC)C(OC)=CC(CNCCC2=CC=CC(OC)=C2OC)=C1
2-(2-Chlorophenyl)-2-hydroxycyclohexanone;Arylcyclohexylamines;TXHGZWYEGMFTJB-UHFFFAOYSA-N;TXHGZWYEGMFTJB;ClC1=C(C=CC=C1)C1(C(CCCC1)=O)O
2-(4-fluorophenyl)piperazine;Piperazine derivates;NZAKSEMIIIZYEM-UHFFFAOYSA-N;NZAKSEMIIIZYEM;FC1=CC=C(C2NCCNC2)C=C1
2,2-dibromo-1-phenylhexan-1-one;Unknown;KBOVHOLDOUKSBP-UHFFFAOYSA-N;KBOVHOLDOUKSBP;BrC(C(=O)C1=CC=CC=C1)(CCCC)Br
2,2'-Difluorofentanyl;Opioids;AUXYZYMWQUXVDV-UHFFFAOYSA-N;AUXYZYMWQUXVDV;FC1=C(C=CC=C1)N(C(CC)=O)C1CCN(CC1)CCC1=C(C=CC=C1)F
2,3,4-TMA;Phenethylamines;LWDQPPLPHGXYLG-UHFFFAOYSA-N;LWDQPPLPHGXYLG;NC(C)CC1=CC=C(OC)C(OC)=C1OC
2,3,5-Trimethoxyamphetamine;Phenethylamines;MJIBJXKJBRLSQA-UHFFFAOYSA-N;MJIBJXKJBRLSQA;COC1=C(C=C(C=C1OC)OC)CC(N)C
2',3'-Dimethoxyfentanyl;Opioids;HDNHGNZVCQDFNF-UHFFFAOYSA-N;HDNHGNZVCQDFNF;CCC(N(C1CCN(CCC2=CC=CC(OC)=C2OC)CC1)C3=CC=CC=C3)=O
2,3-Dimethylethcathinone;Cathinones;MXBQQSYOKGUCTH-UHFFFAOYSA-N;MXBQQSYOKGUCTH;CC1=C(C=CC=C1C)C(C(C)NCC)=O
2,3-DMMC;Cathinones;APVRHNHXZXFDLN-UHFFFAOYSA-N;APVRHNHXZXFDLN;CC(NC)C(C1=CC=CC(C)=C1C)=O
2,3-MDMA;Phenethylamines;RTZIIFGBTSUSEL-UHFFFAOYSA-N;RTZIIFGBTSUSEL;CNC(CC1=CC=CC=2OCOC21)C
2,3-Methylenedioxy-alpha-ethylaminobutiophenone;Cathinones;DBNJXZQZSQIAGV-UHFFFAOYSA-N;DBNJXZQZSQIAGV;O1COC2=C1C=CC=C2C(C(CC)NCC)=O
2,4,5-TMMC;Cathinones;LADJRHTVATTWAT-UHFFFAOYSA-N;LADJRHTVATTWAT;CC(NC)C(C1=CC(C)=C(C)C=C1C)=O
2,4-difluoro U-48800;Opioids;VBWKXUJZXZZAMM-UHFFFAOYSA-N;VBWKXUJZXZZAMM;FC1=C(C=CC(=C1)F)CC(=O)N(C)C1C(CCCC1)N(C)C
2',4'-dimethoxy Fentanyl;Opioids;DHNOAILILCSUCH-UHFFFAOYSA-N;DHNOAILILCSUCH;COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC(=C1)OC
2,4-DMA;Phenethylamines;DQWOZMUBHQPFFF-UHFFFAOYSA-N;DQWOZMUBHQPFFF;CC(N)CC1=CC=C(OC)C=C1OC
2,4-DMEC;Cathinones;SJPGBKUKQFPPPH-UHFFFAOYSA-N;SJPGBKUKQFPPPH;CC(NCC)C(C1=CC=C(C)C=C1C)=O
2,4-DMMC;Cathinones;GMWLLQUZDNDCMN-UHFFFAOYSA-N;GMWLLQUZDNDCMN;CC(NC)C(C1=CC=C(C)C=C1C)=O
2,4-DMPPP;Cathinones;QBFQLEVWHCQDIR-UHFFFAOYSA-N;QBFQLEVWHCQDIR;CC(N1CCCC1)C(C2=CC=C(C)C=C2C)=O
2',5'-Dimethoxyfentanyl;Opioids;SAQRGDVCSASPSH-UHFFFAOYSA-N;SAQRGDVCSASPSH;CCC(N(C1CCN(CCC2=CC(OC)=CC=C2OC)CC1)C3=CC=CC=C3)=O
2,5-dimethyl-alpha-PVP;Cathinones;MIGNJPCJJLFQGK-UHFFFAOYSA-N;MIGNJPCJJLFQGK;CC1=C(C=C(C=C1)C)C(C(CCC)N1CCCC1)=O
2,5-DMA;Phenethylamines;LATVFYDIBMDBSY-UHFFFAOYSA-N;LATVFYDIBMDBSY;CC(N)CC1=CC(OC)=CC=C1OC
2,5-DMMA;Phenethylamines;RSDBPMOXIPCTPN-UHFFFAOYSA-N;RSDBPMOXIPCTPN;COC1=C(C=C(C=C1)OC)CC(NC)C
2',6'-dimethoxy Fentanyl;Opioids;GSKXYRVXRAGXBJ-UHFFFAOYSA-N;GSKXYRVXRAGXBJ;COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C(=CC=C1)OC
2-[4-(2-methoxyphenyl)piperazin-1-yl]-1,2-diphenylethanol;Opioids;RYBKCSDAQTWVRQ-UHFFFAOYSA-N;RYBKCSDAQTWVRQ;COC1=C(C=CC=C1)N1CCN(CC1)C(C(O)C1=CC=CC=C1)C1=CC=CC=C1
23b-PVP;Cathinones;OLYRTPVEGBQNNW-UHFFFAOYSA-N;OLYRTPVEGBQNNW;O1CCC2=C1C=C(C=C2)C(C(CCC)N2CCCC2)=O
25B-N(BOMe)2;Phenethylamines;RLAXQBUUAJLBAN-UHFFFAOYSA-N;RLAXQBUUAJLBAN;COC1=CC=CC=C1CN(CC2=CC=CC=C2OC)CCC3=CC(OC)=C(Br)C=C3OC
25B-NBF;Phenethylamines;ATMBBMXJNIJRST-UHFFFAOYSA-N;ATMBBMXJNIJRST;FC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC
25B-NBOH;Phenethylamines;RSUNJYKZRKIBNB-UHFFFAOYSA-N;RSUNJYKZRKIBNB;OC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC
25B-NBOMe;Phenethylamines;SUXGNJVVBGJEFB-UHFFFAOYSA-N;SUXGNJVVBGJEFB;BrC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC
25C-NB3OMe;Phenethylamines;CSLNJUOCJZCEIR-UHFFFAOYSA-N;CSLNJUOCJZCEIR;COC1=CC(CNCCC2=CC(OC)=C(Cl)C=C2OC)=CC=C1
25C-NBF;Phenethylamines;AHIUIEOLKNDLSC-UHFFFAOYSA-N;AHIUIEOLKNDLSC;FC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC
25C-NBOH;Phenethylamines;VHWXICYYQMMZCW-UHFFFAOYSA-N;VHWXICYYQMMZCW;OC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC
25C-NBOMe;Phenethylamines;FJFPOGCVVLUYAQ-UHFFFAOYSA-N;FJFPOGCVVLUYAQ;ClC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC
25CN-NBOH;Phenethylamines;VWEDZTZAXHMZIL-UHFFFAOYSA-N;VWEDZTZAXHMZIL;N#CC1=CC(OC)=C(CCNCC2=CC=CC=C2O)C=C1OC
25CN-NBOMe;Phenethylamines;QBJWOIWLBRLGKZ-UHFFFAOYSA-N;QBJWOIWLBRLGKZ;COC1=C(C#N)C=C(C(=C1)CCNCC1=C(C=CC=C1)OC)OC
25D-NBOMe;Phenethylamines;UTVHBNXCFSATDB-UHFFFAOYSA-N;UTVHBNXCFSATDB;COC1=C(C=C(C(=C1)C)OC)CCNCC1=C(C=CC=C1)OC
25E-NBOH;Phenethylamines;SYBINTRPEZWFLZ-UHFFFAOYSA-N;SYBINTRPEZWFLZ;C(C)C1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC
25E-NBOMe;Phenethylamines;PXDVGFGXPVCNAB-UHFFFAOYSA-N;PXDVGFGXPVCNAB;COC1=CC=CC=C1CNCCC2=CC(OC)=C(CC)C=C2OC
25G-NBOMe;Phenethylamines;VDAUMFACIMNTDA-UHFFFAOYSA-N;VDAUMFACIMNTDA;COC1=CC=CC=C1CNCCC2=CC(OC)=C(C)C(C)=C2OC
25H-NB4OMe;Phenethylamines;RIQSJIKRFRLJRV-UHFFFAOYSA-N;RIQSJIKRFRLJRV;COC1=CC=C(CNCCC2=CC(OC)=CC=C2OC)C=C1
25H-NBMD;Phenethylamines;BLVQROVWUSBBFY-UHFFFAOYSA-N;BLVQROVWUSBBFY;COC1=CC=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1
25H-NBOH;Phenethylamines;GWSDQXKNRDQTTQ-UHFFFAOYSA-N;GWSDQXKNRDQTTQ;COC1=CC=C(OC)C(CCNCC2=CC=CC=C2O)=C1
25H-NBOMe;Phenethylamines;RMLXCDMTGWSEOU-UHFFFAOYSA-N;RMLXCDMTGWSEOU;COC1=C(C=C(C=C1)OC)CCNCC1=C(C=CC=C1)OC
25I-NB34MD;Phenethylamines;FWEBGKDUEZRMRQ-UHFFFAOYSA-N;FWEBGKDUEZRMRQ;COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OCO3)C3=C2)=C1
25I-NB4OMe;Phenethylamines;NWOROGLTELSWAZ-UHFFFAOYSA-N;NWOROGLTELSWAZ;COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OC)C=C2)=C1
25I-NBF;Phenethylamines;LPBKNBHMWRBPHT-UHFFFAOYSA-N;LPBKNBHMWRBPHT;COC1=C(I)C=C(OC)C(CCNCC2=CC=CC=C2F)=C1
25I-NBMD;Phenethylamines;NJNMIPDEUMTYNV-UHFFFAOYSA-N;NJNMIPDEUMTYNV;COC1=C(I)C=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1
25I-NBOH;Phenethylamines;FEUZHYRXGQTBRO-UHFFFAOYSA-N;FEUZHYRXGQTBRO;IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC
25I-NBOMe;Phenethylamines;ZFUOLNAKPBFDIJ-UHFFFAOYSA-N;ZFUOLNAKPBFDIJ;IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC
25I-NBOMe-M (2-desmethyl-);Phenethylamines;FDQQGKDRMDUFMD-UHFFFAOYSA-N;FDQQGKDRMDUFMD;OC1=CC(I)=C(OC)C=C1CCNCC2=CC=CC=C2OC
25I-NBOMe-M (5-desmethyl-);Phenethylamines;ZIHGISJFTBQGNC-UHFFFAOYSA-N;ZIHGISJFTBQGNC;OC1=CC(CCNCC2=CC=CC=C2OC)=C(OC)C=C1I
25I-NBOMe-M (para-HO);Phenethylamines;SOVZUKWDXFGFTI-UHFFFAOYSA-N;SOVZUKWDXFGFTI;OC1=CC=C(CNCCC2=CC(OC)=C(I)C=C2OC)C(OC)=C1
25IP-NBOMe;Phenethylamines;KMZZEEDFQLXSQF-UHFFFAOYSA-N;KMZZEEDFQLXSQF;COC1=C(C(C)C)C=C(OC)C(CCNCC2=CC=CC=C2OC)=C1
25N-NBOMe;Phenethylamines;TXCKTIBHURMASQ-UHFFFAOYSA-N;TXCKTIBHURMASQ;COC1=CC=CC=C1CNCCC2=CC(OC)=C([N+]([O-])=O)C=C2OC
25P-NBOMe;Phenethylamines;QHEBYIJRKGDFGH-UHFFFAOYSA-N;QHEBYIJRKGDFGH;COC1=CC=CC=C1CNCCC2=CC(OC)=C(CCC)C=C2OC
25T2-NBOMe;Phenethylamines;OZEBFZPAWCXEGK-UHFFFAOYSA-N;OZEBFZPAWCXEGK;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCC)C=C2OC
25T4-NBOMe;Phenethylamines;BOWHVFJVXBVJCU-UHFFFAOYSA-N;BOWHVFJVXBVJCU;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC(C)C)C=C2OC
25T7-NBOMe;Phenethylamines;CPVMNHOHOSNFOP-UHFFFAOYSA-N;CPVMNHOHOSNFOP;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCCC)C=C2OC
25T-NBOMe;Phenethylamines;ZWPIZVVOKGWMFW-UHFFFAOYSA-N;ZWPIZVVOKGWMFW;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC)C=C2OC
2-AI;Aminoindanes;LMHHFZAXSANGGM-UHFFFAOYSA-N;LMHHFZAXSANGGM;NC1CC2=C(C=CC=C2)C1
2-Amino-3-(2-chlorobenzoyl)-5-ethylthiophene;Unknown;RFCCZAHPNNJKKR-UHFFFAOYSA-N;RFCCZAHPNNJKKR;NC=1SC(=CC1C(=O)C1=C(C=CC=C1)Cl)CC
2-APB;Arylalkylamines;QGLBWEFCBFEAPH-UHFFFAOYSA-N;QGLBWEFCBFEAPH;CC(N)CC(O1)=CC2=C1C=CC=C2
2-Benzylamino-1-(3,4-methylenedioxyphenyl)butan-1-one;Cathinones;ROBPFIVMZCNMJW-UHFFFAOYSA-N;ROBPFIVMZCNMJW;CCC(NCC1=CC=CC=C1)C(C2=CC=C(OCO3)C3=C2)=O
2-Bromo-4,5-dimethoxyphenethylamine;Phenethylamines;WGAFQMMKTNUYDH-UHFFFAOYSA-N;WGAFQMMKTNUYDH;BrC1=C(CCN)C=C(C(=C1)OC)OC
2-Bromoamphetamine;Phenethylamines;VGJBPBDFJNFFRO-UHFFFAOYSA-N;VGJBPBDFJNFFRO;NC(C)CC1=CC=CC=C1Br
2-Bromo-deschloroketamine;Arylcyclohexylamines;XPMMBFIMXKSQIQ-UHFFFAOYSA-N;XPMMBFIMXKSQIQ;BrC1=C(C=CC=C1)C1(C(CCCC1)=O)NC
2-Bromomethamphetamine;Phenethylamines;DKQQZKGGVNMTBO-UHFFFAOYSA-N;DKQQZKGGVNMTBO;CC(NC)CC1=CC=CC=C1Br
2C-B;Phenethylamines;YMHOBZXQZVXHBM-UHFFFAOYSA-N;YMHOBZXQZVXHBM;BrC1=CC(=C(C=C1OC)CCN)OC
2C-B aminorex;Unknown;XUTCHZHTIDHQOP-UHFFFAOYSA-N;XUTCHZHTIDHQOP;NC1=NCC(C2=CC(OC)=C(Br)C=C2OC)O1
2C-B-BZP;Piperazine derivates;OHXVYXBOJDDYJS-UHFFFAOYSA-N;OHXVYXBOJDDYJS;COC1=C(Br)C=C(OC)C(CN2CCNCC2)=C1
2C-B-FLY;Phenethylamines;YZDFADGMVOSVIX-UHFFFAOYSA-N;YZDFADGMVOSVIX;BrC1=C2C(=C(C=3CCOC31)CCN)OCC2
2C-B-FLY-NBOMe;Phenethylamines;CUFCITSPWAZWHS-UHFFFAOYSA-N;CUFCITSPWAZWHS;BrC1=C(OCC2)C2=C(CCNCC3=CC=CC=C3OC)C4=C1CCO4
2C-C;Phenethylamines;CGKQFIWIPSIVAS-UHFFFAOYSA-N;CGKQFIWIPSIVAS;NCCC1=CC(OC)=C(Cl)C=C1OC
2C-D;Phenethylamines;UNQQFDCVEMVQHM-UHFFFAOYSA-N;UNQQFDCVEMVQHM;NCCC1=CC(OC)=C(C)C=C1OC
2-CDMC;Cathinones;MCNQZCHJBLFDHK-UHFFFAOYSA-N;MCNQZCHJBLFDHK;ClC1=C(C=CC=C1)C(C(C)N(C)C)=O
2C-E;Phenethylamines;VDRGNAMREYBIHA-UHFFFAOYSA-N;VDRGNAMREYBIHA;C(C)C1=CC(=C(C=C1OC)CCN)OC
2-CEC;Cathinones;SSLLMDUMCHGPJN-UHFFFAOYSA-N;SSLLMDUMCHGPJN;CC(NCC)C(C1=CC=CC=C1Cl)=O
2C-E-FLY;Phenethylamines;JLKXEQOGLSSESL-UHFFFAOYSA-N;JLKXEQOGLSSESL;NCCC1=C2C(OCC2)=C(CC)C3=C1OCC3
2C-F;Phenethylamines;QAVFEDRVOUKIPM-UHFFFAOYSA-N;QAVFEDRVOUKIPM;NCCC1=CC(OC)=C(F)C=C1OC
2C-G;Phenethylamines;NFOHGLKGLZIHJQ-UHFFFAOYSA-N;NFOHGLKGLZIHJQ;NCCC1=CC(OC)=C(C)C(C)=C1OC
2C-G-4;Phenethylamines;LBXJFOGUUUOECQ-UHFFFAOYSA-N;LBXJFOGUUUOECQ;COC1=C2CCCCC2=C(C(=C1)CCN)OC
2C-G-N;Phenethylamines;VKWQEEWEGKDTDE-UHFFFAOYSA-N;VKWQEEWEGKDTDE;COC1=CC(=C(C2=CC=CC=C21)OC)CCN
2C-H;Phenethylamines;WNCUVUUEJZEATP-UHFFFAOYSA-N;WNCUVUUEJZEATP;COC1=C(C=C(C=C1)OC)CCN
2-Chloro-4,5-MDMA;Phenethylamines;UUGIOXDVHPQROZ-UHFFFAOYSA-N;UUGIOXDVHPQROZ;CC(NC)CC1=C(Cl)C=C(OCO2)C2=C1
2-chloro-MDA;Unknown;RLXSVYSNRAKQGZ-UHFFFAOYSA-N;RLXSVYSNRAKQGZ;ClC1=C(CC(N)C)C=C2C(=C1)OCO2
2C-I;Phenethylamines;PQHQBRJAAZQXHL-UHFFFAOYSA-N;PQHQBRJAAZQXHL;COC1=C(I)C=C(OC)C(CCN)=C1
2C-iP;Phenethylamines;XUGPCRRUMVWELT-UHFFFAOYSA-N;XUGPCRRUMVWELT;NCCC1=CC(OC)=C(C(C)C)C=C1OC
2-Cl-2'-Oxo-PCP;Arylcyclohexylamines;DYGJDXXZERKWKD-UHFFFAOYSA-N;DYGJDXXZERKWKD;ClC1=C(C=CC=C1)C1(C(CCCC1)=O)N1CCCCC1
2-Cl-PCP;Arylcyclohexylamines;VGOZTBWNYAPRMU-UHFFFAOYSA-N;VGOZTBWNYAPRMU;ClC1=C(C=CC=C1)C1(CCCCC1)N1CCCCC1
2-CMC;Cathinones;UHVGPEBZWPKWNT-UHFFFAOYSA-N;UHVGPEBZWPKWNT;ClC1=C(C=CC=C1)C(C(C)NC)=O
2C-N;Phenethylamines;ZMUSDZGRRJGRAO-UHFFFAOYSA-N;ZMUSDZGRRJGRAO;NCCC1=CC(OC)=C([N+]([O-])=O)C=C1OC
2C-O-4;Phenethylamines;UBNHYNYMUORHAM-UHFFFAOYSA-N;UBNHYNYMUORHAM;CC(C)OC1=C(C=C(C=C1OC)CCN)OC
2C-P;Phenethylamines;PZJOKFZGPTVNBF-UHFFFAOYSA-N;PZJOKFZGPTVNBF;COC1=C(CCN)C=C(OC)C(CCC)=C1
2C-T;Phenethylamines;UPZMYCMLLQTYEM-UHFFFAOYSA-N;UPZMYCMLLQTYEM;CSC1=C(OC)C=C(CCN)C(OC)=C1
2C-T-2;Phenethylamines;HCWQGDLBIKOJPM-UHFFFAOYSA-N;HCWQGDLBIKOJPM;C(C)SC1=CC(=C(C=C1OC)CCN)OC
2C-T-21;Phenethylamines;ZBUUUKBTOCTOPW-UHFFFAOYSA-N;ZBUUUKBTOCTOPW;FCCSC1=C(OC)C=C(CCN)C(OC)=C1
2C-T-4;Phenethylamines;HDYZSVKZKDPLDT-UHFFFAOYSA-N;HDYZSVKZKDPLDT;COC1=C(C=C(C(=C1)SC(C)C)OC)CCN
2C-T-7;Phenethylamines;OLEVEPDJOFPJTF-UHFFFAOYSA-N;OLEVEPDJOFPJTF;COC1=C(C=C(C(=C1)SCCC)OC)CCN
2C-TFM;Phenethylamines;LYXGNMLWYONZID-UHFFFAOYSA-N;LYXGNMLWYONZID;NCCC1=CC(OC)=C(C(F)(F)F)C=C1OC
2-diphenylmethylpyrrolidine;Piperidines & pyrrolidines;OXOBKZZXZVFOBB-UHFFFAOYSA-N;OXOBKZZXZVFOBB;C1(C(C2=CC=CC=C2)C3=CC=CC=C3)NCCC1
