Compound,DrugClass,InChIKey,InChIKeyShort,SMILES,Predicted_IE,Low_IE_boundary,High_IE_boundary
1-(2-Chloro-3-fluorophenyl)piperazine,Piperazine derivates,UFRAAIGOXGTHQX-UHFFFAOYSA-N,UFRAAIGOXGTHQX,ClC1=C(C=CC=C1F)N1CCNCC1,2.6329232205542055,2.4275799977421557,2.7784151612850008
1-(3-Methoxyphenyl)piperazine,Piperazine derivates,PZIBVWUXWNYTNL-UHFFFAOYSA-N,PZIBVWUXWNYTNL,COC1=CC(N2CCNCC2)=CC=C1,2.986353838168718,2.7854450397627852,3.1863969061398785
1-(3-Methylbenzyl)piperazine,Piperazine derivates,VTEOTZPEMDQENX-UHFFFAOYSA-N,VTEOTZPEMDQENX,CC1=CC(CN2CCNCC2)=CC=C1,3.303355837969476,3.161596244829459,3.6152025104169105
"1-(4-Bromo-2,5-dimethoxyphenyl)ethanamine",Phenethylamines,JKOMOTQHGDWZAQ-UHFFFAOYSA-N,JKOMOTQHGDWZAQ,BrC1=CC(=C(C=C1OC)C(C)N)OC,2.423737213504625,2.1132876724570826,2.605511100264492
1-(4-fluorophenyl)-2-(piperidin-1-yl)pentan-1-one,Cathinones,AJMXJSKPVFQDJF-UHFFFAOYSA-N,AJMXJSKPVFQDJF,CCCC(N1CCCCC1)C(C2=CC=C(F)C=C2)=O,3.805245650551363,3.243483927842365,3.805245650551363
1-(4-methylbenzyl) piperazine,Piperazine derivates,RNAXUUAJNMDESG-UHFFFAOYSA-N,RNAXUUAJNMDESG,CC1=CC=C(C=C1)CN2CCNCC2,3.401589689369794,3.2365977597008717,3.7524930555692086
1-(4-methylphenyl)-2-(piperidin-1-yl)propan-1-one,Cathinones,DHZOVKWINAURCF-UHFFFAOYSA-N,DHZOVKWINAURCF,CC(N1CCCCC1)C(C2=CC=C(C)C=C2)=O,3.7391803312998317,3.166409621243837,3.770631389579883
"1,3-dimethylbutylamine",Unknown,UNBMPKNTYKDYCG-UHFFFAOYSA-N,UNBMPKNTYKDYCG,CC(CC(C)N)C,3.3107954368519685,1.5974889175698492,3.3107954368519685
"1,3-Indanedione",Unknown,UHKAJLSKXBADFT-UHFFFAOYSA-N,UHKAJLSKXBADFT,O=C1CC(C2=C1C=CC=C2)=O,1.3780199744491934,0.6299655298788318,1.4769788650080569
"1,4-Butanediol",Unknown,WERYXYBDKMZEQL-UHFFFAOYSA-N,WERYXYBDKMZEQL,OCCCCO,0.9423685269879631,0.5856082788042047,0.9506509091861328
"1,4-DMAA",Unknown,IZCBXLKODYZSDJ-UHFFFAOYSA-N,IZCBXLKODYZSDJ,CC(CCC(C)N)C,3.4912611980967654,1.7968029448906895,3.4912611980967654
1-Aminoindan,Aminoindanes,XJEVHMGJSYVQBQ-UHFFFAOYSA-N,XJEVHMGJSYVQBQ,NC1CCC2=C1C=CC=C2,3.327379186702186,1.6322549340411352,3.3733837752275444
1B-LSD,Indolalkylamines,SVRFNPSJPIDUBC-DYESRHJHSA-N,SVRFNPSJPIDUBC,C(CCC)(=O)N1C=C2CC3N(CC(C=C3C3=CC=CC1=C32)C(=O)N(CC)CC)C,4.037785781194071,3.462120373599191,4.04253911201592
1cP-AL-LAD,Indolalkylamines,VSABTUDYQCMWKE-AUSIDOKSSA-N,VSABTUDYQCMWKE,C1(CC1)C(=O)N1C=C2C[C@H]3N(C[C@@H](C=C3C=3C=CC=C1C32)C(=O)N(CC)CC)CC=C,4.035695466886265,3.480852967759503,4.035695466886265
1cP-LSD,Indolalkylamines,RAFUPYYDHPFASC-DYESRHJHSA-N,RAFUPYYDHPFASC,CN1[C@](C2=C[C@@H](C(N(CC)CC)=O)C1)([H])CC3=CN(C(C4CC4)=O)C5=C3C2=CC=C5,4.0612999694394265,3.4902239397936263,4.0612999694394265
1-Cyclohexylmethylindole,Indolalkylamines,HIOJKWCIURECFH-UHFFFAOYSA-N,HIOJKWCIURECFH,N1(CC2CCCCC2)C=CC3=C1C=CC=C3,4.188988534489632,3.678229445125485,4.188988534489632
1-cyclohexyl-x-methoxybenzene,Unknown,LFLKITSXQSAZJR-UHFFFAOYSA-N,LFLKITSXQSAZJR,COC1=CC(C2CCCCC2)=CC=C1,2.349723147852917,1.4981654580021426,2.349723147852917
1-Demethylphenazolam,Benzodiazepines,HGHGSOBPNPCMHF-UHFFFAOYSA-N,HGHGSOBPNPCMHF,ClC1=CC=CC=C1C2=NCC3=NN=CN3C4=CC=C(Br)C=C24,3.4985058364899935,3.0931522677910883,3.697821707325891
1-Ethynyl-cyclohexanol (ECX),Unknown,QYLFHLNFIHBCPR-UHFFFAOYSA-N,QYLFHLNFIHBCPR,OC1(C#C)CCCCC1,1.2579345156460116,0.6277217873243544,1.2579345156460116
1-Naphthoyl indole,Cannabinoids,QIXQGVQLBPQVOR-UHFFFAOYSA-N,QIXQGVQLBPQVOR,O=C(C1=CNC2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3,3.8963982128936303,3.2884813513707685,3.8963982128936303
1-Naphthyl-CP,Arylcyclohexylamines,VNGCZEMEKQTINU-UHFFFAOYSA-N,VNGCZEMEKQTINU,C1(=CC=CC2=CC=CC=C12)C1(CCCCC1)N1CCCCC1,4.392443123691451,3.6477307780946493,4.392443123691451
1-PEA,Phenethylamines,RQEUFEKYXDPUSK-UHFFFAOYSA-N,RQEUFEKYXDPUSK,CC(C1=CC=CC=C1)N,3.3882212935554405,1.718721495108424,3.3882212935554405
1-Pentylindole,Indolalkylamines,QWLCOOAYMQWDPR-UHFFFAOYSA-N,QWLCOOAYMQWDPR,CCCCCN1C=CC2=C1C=CC=C2,3.9165556839555355,3.3994736706769606,3.9165556839555355
1P-ETH-LAD,Indolalkylamines,MLOFCBXSOAYCIF-DYESRHJHSA-N,MLOFCBXSOAYCIF,O=C([C@H](C=C12)CN(CC)[C@]2([H])CC3=CN(C(CC)=O)C4=C3C1=CC=C4)N(CC)CC,4.003479042649399,3.4192932065045754,4.035415983481801
1-phenethyl-4-hydroxypiperidene,Piperidines & pyrrolidines,KYGMSTKBHJVPJK-UHFFFAOYSA-N,KYGMSTKBHJVPJK,OC1CCN(CCC2=CC=CC=C2)CC1,3.7194823889478013,3.181961702186492,3.7194823889478013
1-phenyl-1-propanamine,Phenethylamines,AQFLVLHRZFLDDV-UHFFFAOYSA-N,AQFLVLHRZFLDDV,CCC(C1=CC=CC=C1)N,3.424797960131366,1.3929851926416617,3.4966971621285583
1-phenyl-2-(piperidin-1-yl)butan-1-one,Cathinones,VFLPICJWFQLLSY-UHFFFAOYSA-N,VFLPICJWFQLLSY,CCC(N1CCCCC1)C(C2=CC=CC=C2)=O,3.854943708673826,3.296818255934292,3.854943708673826
1-phenylbutan-2-amine,Unknown,IOLQWLOHKZENDW-UHFFFAOYSA-N,IOLQWLOHKZENDW,CCC(N)CC1=CC=CC=C1,3.9517291257678258,2.2100131783465593,3.956449454835401
1p-LSD,Indolalkylamines,JSMQOVGXBIDBIE-OXQOHEQNSA-N,JSMQOVGXBIDBIE,C(C)N(C(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4N(C3)C(CC)=O)C)CC,3.989865490700015,3.4118869405728223,4.010346031832252
1V-LSD,Indolalkylamines,GIIBVGJWUZNECE-XMSQKQJNSA-N,GIIBVGJWUZNECE,C(C)N(C(=O)[C@H]1CN(C)[C@@H]2CC3=CN(C4=CC=CC(C2=C1)=C34)C(CCCC)=O)CC,3.9287340221679745,3.353068614573095,4.013660094748467
"2-(1H-indol-3-yl)-N,N-dipropylacetamide",Indolalkylamines,AEPJTCZBIULDTE-UHFFFAOYSA-N,AEPJTCZBIULDTE,O=C(N(CCC)CCC)CC1=CNC2=C1C=CC=C2,3.601626082497587,3.1312348006247084,3.9872489549926016
"2-(2,3-dimethoxyphenyl)-N-(3,4,5-trimethoxybenzyl)ethanamine",Phenethylamines,MMGNHVNVOURGOB-UHFFFAOYSA-N,MMGNHVNVOURGOB,COC1=C(OC)C(OC)=CC(CNCCC2=CC=CC(OC)=C2OC)=C1,3.9703579095462365,3.2521066949069386,3.9703579095462365
2-(2-Chlorophenyl)-2-hydroxycyclohexanone,Arylcyclohexylamines,TXHGZWYEGMFTJB-UHFFFAOYSA-N,TXHGZWYEGMFTJB,ClC1=C(C=CC=C1)C1(C(CCCC1)=O)O,1.5757948883864905,1.2961662305958095,1.8129330024700252
2-(4-fluorophenyl)piperazine,Piperazine derivates,NZAKSEMIIIZYEM-UHFFFAOYSA-N,NZAKSEMIIIZYEM,FC1=CC=C(C2NCCNC2)C=C1,3.3401432561478153,2.9668002575175647,3.3401432561478153
"2,2-dibromo-1-phenylhexan-1-one",Unknown,KBOVHOLDOUKSBP-UHFFFAOYSA-N,KBOVHOLDOUKSBP,BrC(C(=O)C1=CC=CC=C1)(CCCC)Br,1.8693336141988492,1.6162784426719632,2.1621611951216892
"2,2'-Difluorofentanyl",Opioids,AUXYZYMWQUXVDV-UHFFFAOYSA-N,AUXYZYMWQUXVDV,FC1=C(C=CC=C1)N(C(CC)=O)C1CCN(CC1)CCC1=C(C=CC=C1)F,4.056802180296996,3.469237502472379,4.056802180296996
"2,3,4-TMA",Phenethylamines,LWDQPPLPHGXYLG-UHFFFAOYSA-N,LWDQPPLPHGXYLG,NC(C)CC1=CC=C(OC)C(OC)=C1OC,2.8860318445420714,2.063378114802761,2.8860318445420714
"2,3,5-Trimethoxyamphetamine",Phenethylamines,MJIBJXKJBRLSQA-UHFFFAOYSA-N,MJIBJXKJBRLSQA,COC1=C(C=C(C=C1OC)OC)CC(N)C,2.8438710352467,2.105771382779546,2.8438710352467
"2',3'-Dimethoxyfentanyl",Opioids,HDNHGNZVCQDFNF-UHFFFAOYSA-N,HDNHGNZVCQDFNF,CCC(N(C1CCN(CCC2=CC=CC(OC)=C2OC)CC1)C3=CC=CC=C3)=O,4.330869351513062,3.526641839121836,4.330869351513062
"2,3-Dimethylethcathinone",Cathinones,MXBQQSYOKGUCTH-UHFFFAOYSA-N,MXBQQSYOKGUCTH,CC1=C(C=CC=C1C)C(C(C)NCC)=O,3.76400511110191,3.2506598600774153,3.76400511110191
"2,3-DMMC",Cathinones,APVRHNHXZXFDLN-UHFFFAOYSA-N,APVRHNHXZXFDLN,CC(NC)C(C1=CC=CC(C)=C1C)=O,3.497083590783335,2.986043242829461,3.497083590783335
"2,3-MDMA",Phenethylamines,RTZIIFGBTSUSEL-UHFFFAOYSA-N,RTZIIFGBTSUSEL,CNC(CC1=CC=CC=2OCOC21)C,2.7753407332316167,2.56063849058913,2.88056276553336
"2,3-Methylenedioxy-alpha-ethylaminobutiophenone",Cathinones,DBNJXZQZSQIAGV-UHFFFAOYSA-N,DBNJXZQZSQIAGV,O1COC2=C1C=CC=C2C(C(CC)NCC)=O,3.0801995427927773,2.5899818706915148,3.5021506576192905
"2,4,5-TMMC",Cathinones,LADJRHTVATTWAT-UHFFFAOYSA-N,LADJRHTVATTWAT,CC(NC)C(C1=CC(C)=C(C)C=C1C)=O,3.795610335477355,3.1018253695517215,3.795610335477355
"2,4-difluoro U-48800",Opioids,VBWKXUJZXZZAMM-UHFFFAOYSA-N,VBWKXUJZXZZAMM,FC1=C(C=CC(=C1)F)CC(=O)N(C)C1C(CCCC1)N(C)C,3.470552335829583,2.9086160219636237,3.470552335829583
"2',4'-dimethoxy Fentanyl",Opioids,DHNOAILILCSUCH-UHFFFAOYSA-N,DHNOAILILCSUCH,COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC(=C1)OC,4.231537772303688,3.459292966445062,4.231537772303688
"2,4-DMA",Phenethylamines,DQWOZMUBHQPFFF-UHFFFAOYSA-N,DQWOZMUBHQPFFF,CC(N)CC1=CC=C(OC)C=C1OC,2.6252717769204796,2.406617269018017,2.835833756105434
"2,4-DMEC",Cathinones,SJPGBKUKQFPPPH-UHFFFAOYSA-N,SJPGBKUKQFPPPH,CC(NCC)C(C1=CC=C(C)C=C1C)=O,3.7497046467800486,3.199016017296506,3.793927617520707
"2,4-DMMC",Cathinones,GMWLLQUZDNDCMN-UHFFFAOYSA-N,GMWLLQUZDNDCMN,CC(NC)C(C1=CC=C(C)C=C1C)=O,3.55224726334693,3.125978927033243,3.560951568671906
"2,4-DMPPP",Cathinones,QBFQLEVWHCQDIR-UHFFFAOYSA-N,QBFQLEVWHCQDIR,CC(N1CCCC1)C(C2=CC=C(C)C=C2C)=O,3.8822913714358505,3.2533518730718183,3.8822913714358505
"2',5'-Dimethoxyfentanyl",Opioids,SAQRGDVCSASPSH-UHFFFAOYSA-N,SAQRGDVCSASPSH,CCC(N(C1CCN(CCC2=CC(OC)=CC=C2OC)CC1)C3=CC=CC=C3)=O,4.259848548079074,3.475936025515085,4.259848548079074
"2,5-dimethyl-alpha-PVP",Cathinones,MIGNJPCJJLFQGK-UHFFFAOYSA-N,MIGNJPCJJLFQGK,CC1=C(C=C(C=C1)C)C(C(CCC)N1CCCC1)=O,3.9737354066845203,3.345379226620078,4.136713881422941
"2,5-DMA",Phenethylamines,LATVFYDIBMDBSY-UHFFFAOYSA-N,LATVFYDIBMDBSY,CC(N)CC1=CC(OC)=CC=C1OC,2.5362952035228763,2.2820291110105755,2.669305872068302
"2,5-DMMA",Phenethylamines,RSDBPMOXIPCTPN-UHFFFAOYSA-N,RSDBPMOXIPCTPN,COC1=C(C=C(C=C1)OC)CC(NC)C,3.1857747589942185,2.5943457238954104,3.1857747589942185
"2',6'-dimethoxy Fentanyl",Opioids,GSKXYRVXRAGXBJ-UHFFFAOYSA-N,GSKXYRVXRAGXBJ,COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C(=CC=C1)OC,4.3394311046377085,3.5475222027679245,4.3394311046377085
"2-[4-(2-methoxyphenyl)piperazin-1-yl]-1,2-diphenylethanol",Opioids,RYBKCSDAQTWVRQ-UHFFFAOYSA-N,RYBKCSDAQTWVRQ,COC1=C(C=CC=C1)N1CCN(CC1)C(C(O)C1=CC=CC=C1)C1=CC=CC=C1,4.121785537201755,3.4476819859106866,4.121785537201755
23b-PVP,Cathinones,OLYRTPVEGBQNNW-UHFFFAOYSA-N,OLYRTPVEGBQNNW,O1CCC2=C1C=C(C=C2)C(C(CCC)N2CCCC2)=O,3.6174963344915567,3.0424858945310764,3.774180914048183
25B-N(BOMe)2,Phenethylamines,RLAXQBUUAJLBAN-UHFFFAOYSA-N,RLAXQBUUAJLBAN,COC1=CC=CC=C1CN(CC2=CC=CC=C2OC)CCC3=CC(OC)=C(Br)C=C3OC,4.091643720754839,3.370079529007386,4.091643720754839
25B-NBF,Phenethylamines,ATMBBMXJNIJRST-UHFFFAOYSA-N,ATMBBMXJNIJRST,FC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC,3.5213335965027217,2.855169272938084,3.5213335965027217
25B-NBOH,Phenethylamines,RSUNJYKZRKIBNB-UHFFFAOYSA-N,RSUNJYKZRKIBNB,OC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC,3.900907852878724,2.9575475471204147,3.900907852878724
25B-NBOMe,Phenethylamines,SUXGNJVVBGJEFB-UHFFFAOYSA-N,SUXGNJVVBGJEFB,BrC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,4.128473699000978,3.0745079511588616,4.128473699000978
25C-NB3OMe,Phenethylamines,CSLNJUOCJZCEIR-UHFFFAOYSA-N,CSLNJUOCJZCEIR,COC1=CC(CNCCC2=CC(OC)=C(Cl)C=C2OC)=CC=C1,3.9036316412776353,3.009657768552704,3.9036316412776353
25C-NBF,Phenethylamines,AHIUIEOLKNDLSC-UHFFFAOYSA-N,AHIUIEOLKNDLSC,FC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC,3.479668812768761,2.8128725062201787,3.479668812768761
25C-NBOH,Phenethylamines,VHWXICYYQMMZCW-UHFFFAOYSA-N,VHWXICYYQMMZCW,OC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC,3.858897558850445,2.917363518333103,3.858897558850445
25C-NBOMe,Phenethylamines,FJFPOGCVVLUYAQ-UHFFFAOYSA-N,FJFPOGCVVLUYAQ,ClC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,4.081135681972944,3.0289961993717958,4.081135681972944
25CN-NBOH,Phenethylamines,VWEDZTZAXHMZIL-UHFFFAOYSA-N,VWEDZTZAXHMZIL,N#CC1=CC(OC)=C(CCNCC2=CC=CC=C2O)C=C1OC,4.001195798977365,3.3288697550034723,4.001195798977365
25CN-NBOMe,Phenethylamines,QBJWOIWLBRLGKZ-UHFFFAOYSA-N,QBJWOIWLBRLGKZ,COC1=C(C#N)C=C(C(=C1)CCNCC1=C(C=CC=C1)OC)OC,4.1865493833343,3.5338219980718444,4.1865493833343
25D-NBOMe,Phenethylamines,UTVHBNXCFSATDB-UHFFFAOYSA-N,UTVHBNXCFSATDB,COC1=C(C=C(C(=C1)C)OC)CCNCC1=C(C=CC=C1)OC,4.123838023647316,3.3079868414872564,4.123838023647316
25E-NBOH,Phenethylamines,SYBINTRPEZWFLZ-UHFFFAOYSA-N,SYBINTRPEZWFLZ,C(C)C1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC,3.928159056891526,3.125401934313196,3.928159056891526
25E-NBOMe,Phenethylamines,PXDVGFGXPVCNAB-UHFFFAOYSA-N,PXDVGFGXPVCNAB,COC1=CC=CC=C1CNCCC2=CC(OC)=C(CC)C=C2OC,4.108379751766423,3.303700803940357,4.108379751766423
25G-NBOMe,Phenethylamines,VDAUMFACIMNTDA-UHFFFAOYSA-N,VDAUMFACIMNTDA,COC1=CC=CC=C1CNCCC2=CC(OC)=C(C)C(C)=C2OC,4.119416251919332,3.2547563906058676,4.119416251919332
25H-NB4OMe,Phenethylamines,RIQSJIKRFRLJRV-UHFFFAOYSA-N,RIQSJIKRFRLJRV,COC1=CC=C(CNCCC2=CC(OC)=CC=C2OC)C=C1,4.03555338770169,3.0981050130502346,4.03555338770169
25H-NBMD,Phenethylamines,BLVQROVWUSBBFY-UHFFFAOYSA-N,BLVQROVWUSBBFY,COC1=CC=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1,3.78528282769328,2.8730898225488235,3.78528282769328
25H-NBOH,Phenethylamines,GWSDQXKNRDQTTQ-UHFFFAOYSA-N,GWSDQXKNRDQTTQ,COC1=CC=C(OC)C(CCNCC2=CC=CC=C2O)=C1,3.8887583098991203,2.9411749740233852,3.8887583098991203
25H-NBOMe,Phenethylamines,RMLXCDMTGWSEOU-UHFFFAOYSA-N,RMLXCDMTGWSEOU,COC1=C(C=C(C=C1)OC)CCNCC1=C(C=CC=C1)OC,4.115188048076489,3.056999270116948,4.115188048076489
25I-NB34MD,Phenethylamines,FWEBGKDUEZRMRQ-UHFFFAOYSA-N,FWEBGKDUEZRMRQ,COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OCO3)C3=C2)=C1,3.727440321938036,2.8705465979145393,3.727440321938036
25I-NB4OMe,Phenethylamines,NWOROGLTELSWAZ-UHFFFAOYSA-N,NWOROGLTELSWAZ,COC1=C(I)C=C(OC)C(CCNCC2=CC=C(OC)C=C2)=C1,3.8943081699746935,2.9703907642770706,3.8943081699746935
25I-NBF,Phenethylamines,LPBKNBHMWRBPHT-UHFFFAOYSA-N,LPBKNBHMWRBPHT,COC1=C(I)C=C(OC)C(CCNCC2=CC=CC=C2F)=C1,3.4019900537223347,2.7406820741565507,3.4019900537223347
25I-NBMD,Phenethylamines,NJNMIPDEUMTYNV-UHFFFAOYSA-N,NJNMIPDEUMTYNV,COC1=C(I)C=C(OC)C(CCNCC2=C3OCOC3=CC=C2)=C1,3.662365883849394,2.760536376181018,3.662365883849394
25I-NBOH,Phenethylamines,FEUZHYRXGQTBRO-UHFFFAOYSA-N,FEUZHYRXGQTBRO,IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC,3.7654753445033027,2.8314229775813993,3.7654753445033027
25I-NBOMe,Phenethylamines,ZFUOLNAKPBFDIJ-UHFFFAOYSA-N,ZFUOLNAKPBFDIJ,IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC,3.993041190625555,2.948383381619846,3.993041190625555
25I-NBOMe-M (2-desmethyl-),Phenethylamines,FDQQGKDRMDUFMD-UHFFFAOYSA-N,FDQQGKDRMDUFMD,OC1=CC(I)=C(OC)C=C1CCNCC2=CC=CC=C2OC,3.7813169453731392,2.814582515128861,3.7813169453731392
25I-NBOMe-M (5-desmethyl-),Phenethylamines,ZIHGISJFTBQGNC-UHFFFAOYSA-N,ZIHGISJFTBQGNC,OC1=CC(CCNCC2=CC=CC=C2OC)=C(OC)C=C1I,3.8121430660310427,2.8459575074901884,3.8121430660310427
25I-NBOMe-M (para-HO),Phenethylamines,SOVZUKWDXFGFTI-UHFFFAOYSA-N,SOVZUKWDXFGFTI,OC1=CC=C(CNCCC2=CC(OC)=C(I)C=C2OC)C(OC)=C1,3.8871531878160637,2.8046718799230246,3.8871531878160637
25IP-NBOMe,Phenethylamines,KMZZEEDFQLXSQF-UHFFFAOYSA-N,KMZZEEDFQLXSQF,COC1=C(C(C)C)C=C(OC)C(CCNCC2=CC=CC=C2OC)=C1,4.116117516375053,3.3442491760159805,4.116117516375053
25N-NBOMe,Phenethylamines,TXCKTIBHURMASQ-UHFFFAOYSA-N,TXCKTIBHURMASQ,COC1=CC=CC=C1CNCCC2=CC(OC)=C([N+]([O-])=O)C=C2OC,3.6023326907139968,2.6862232983148164,3.6023326907139968
25P-NBOMe,Phenethylamines,QHEBYIJRKGDFGH-UHFFFAOYSA-N,QHEBYIJRKGDFGH,COC1=CC=CC=C1CNCCC2=CC(OC)=C(CCC)C=C2OC,4.106568262725647,3.2663962873139534,4.106568262725647
25T2-NBOMe,Phenethylamines,OZEBFZPAWCXEGK-UHFFFAOYSA-N,OZEBFZPAWCXEGK,COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCC)C=C2OC,4.106568262725647,3.2663962873139534,4.106568262725647
25T4-NBOMe,Phenethylamines,BOWHVFJVXBVJCU-UHFFFAOYSA-N,BOWHVFJVXBVJCU,COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC(C)C)C=C2OC,3.937335040716225,3.113509590034208,3.937335040716225
25T7-NBOMe,Phenethylamines,CPVMNHOHOSNFOP-UHFFFAOYSA-N,CPVMNHOHOSNFOP,COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCCC)C=C2OC,4.012018325724049,3.1956103661507673,4.012018325724049
25T-NBOMe,Phenethylamines,ZWPIZVVOKGWMFW-UHFFFAOYSA-N,ZWPIZVVOKGWMFW,COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC)C=C2OC,4.108379751766423,3.303700803940357,4.108379751766423
2-AI,Aminoindanes,LMHHFZAXSANGGM-UHFFFAOYSA-N,LMHHFZAXSANGGM,NC1CC2=C(C=CC=C2)C1,3.4766889061537487,1.7625879333032455,3.4944498253297454
2-Amino-3-(2-chlorobenzoyl)-5-ethylthiophene,Unknown,RFCCZAHPNNJKKR-UHFFFAOYSA-N,RFCCZAHPNNJKKR,NC=1SC(=CC1C(=O)C1=C(C=CC=C1)Cl)CC,3.1539669845794807,2.388546045375532,3.1539669845794807
2-APB,Arylalkylamines,QGLBWEFCBFEAPH-UHFFFAOYSA-N,QGLBWEFCBFEAPH,CC(N)CC(O1)=CC2=C1C=CC=C2,3.081568811087879,2.5035239656562016,3.081568811087879
"2-Benzylamino-1-(3,4-methylenedioxyphenyl)butan-1-one",Cathinones,ROBPFIVMZCNMJW-UHFFFAOYSA-N,ROBPFIVMZCNMJW,CCC(NCC1=CC=CC=C1)C(C2=CC=C(OCO3)C3=C2)=O,3.4924932684605547,3.0759922761203753,3.924722025749774
"2-Bromo-4,5-dimethoxyphenethylamine",Phenethylamines,WGAFQMMKTNUYDH-UHFFFAOYSA-N,WGAFQMMKTNUYDH,BrC1=C(CCN)C=C(C(=C1)OC)OC,2.4226179284824685,2.248268190606295,2.709369162181581
2-Bromoamphetamine,Phenethylamines,VGJBPBDFJNFFRO-UHFFFAOYSA-N,VGJBPBDFJNFFRO,NC(C)CC1=CC=CC=C1Br,3.6575525550305743,1.9039389384731162,3.7003057421021888
2-Bromo-deschloroketamine,Arylcyclohexylamines,XPMMBFIMXKSQIQ-UHFFFAOYSA-N,XPMMBFIMXKSQIQ,BrC1=C(C=CC=C1)C1(C(CCCC1)=O)NC,3.553480563373733,3.1645128237229248,3.6209590889913437
2-Bromomethamphetamine,Phenethylamines,DKQQZKGGVNMTBO-UHFFFAOYSA-N,DKQQZKGGVNMTBO,CC(NC)CC1=CC=CC=C1Br,4.278102897861256,2.825126051601663,4.278102897861256
