Ionization Mode;name;pH_aq;CAS Registry Number;DTXSID;MS-Ready DTXCID;Number of Mixtures;Mixture;Retention Time;Concentration Level;Concentration (mM);Observed Intensity;Normalization Factor;Normalized Intensity;log-log Calibration Curve Intercept;log-log Calibration Curve Slope;Calibration Curve Concentration Estimate (mM);Upper-Bound Calibration Curve Concentration Estimate (mM);Lower-Bound Calibration Curve Concentration Estimate (mM);True Concentration Within CC-Based Concentration Bounds?;Error Quotient: Upper-Bound Calibration Curve Concentration Estimate / True Concentration;Response Factor;Upper-Bound RF-Based Concentration Estimate (mM);Lower-Bound RF-Based Concentration Estimate (mM);True Concentration Within RF-Based Concentration Bounds?;Error Quotient: Upper-Bound RF-Based Concentration Estimate / True Concentration;logIE;instrument;source;solvent;doi;Box-Cox Transformed Response Factor (l = 0.285);Linear Mixed-Effects Model Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Upper-Bound Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Lower-Bound Transformed Response Factor Estimate;IE-Based RF Imputed with Minimum RF / √2?;Upper-Bound IE-Based Concentration Estimate (mM);Lower-Bound IE-Based Concentration Estimate (mM);True Concentration Within IE-Based Concentration Bounds?;Error Quotient: Upper-Bound IE-Based Concentration Estimate / True Concentration;Prediction Quotient: Upper-Bound RF-Based Concentration Estimate / Upper Bound IE-Based Concentration Estimate
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;499;11.47;Mid;0.122;2.50E+07;1.037;2.60E+07;8.45;1.067;0.106;0.193;0.058;YES;1.583;2.13E+08;18.955;0.107;YES;155.371;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;825.7;518.3;263.4;773.4;NO;6.513;0.153;NO;53.389;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;499;11.47;High;0.49;1.00E+08;1.12;1.12E+08;8.45;1.067;0.417;0.812;0.228;YES;1.657;2.29E+08;81.818;0.461;YES;166.975;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;842.9;518.3;263.4;773.4;NO;28.115;0.662;NO;57.377;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;503;11.39;Low;0.024;5.19E+06;0.95;4.93E+06;8.45;1.067;0.022;0.041;0.011;YES;1.719;2.05E+08;3.596;0.02;YES;149.833;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;817.2;518.3;263.4;773.4;NO;1.236;0.029;NO;51.486;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;503;11.39;Mid;0.122;2.82E+07;1.018;2.87E+07;8.45;1.067;0.117;0.213;0.064;YES;1.745;2.36E+08;20.981;0.118;YES;171.979;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;850;518.3;263.4;773.4;NO;7.21;0.17;NO;59.096;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;503;11.39;High;0.49;8.33E+07;1.16;9.67E+07;8.45;1.067;0.363;0.7;0.199;YES;1.429;1.97E+08;70.568;0.398;YES;144.016;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;808;518.3;263.4;773.4;NO;24.249;0.571;NO;49.487;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;505;11.37;Low;0.024;6.22E+06;0.926;5.76E+06;8.45;1.067;0.026;0.048;0.013;YES;1.981;2.40E+08;4.206;0.024;YES;175.251;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;854.6;518.3;263.4;773.4;NO;1.445;0.034;NO;60.221;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;505;11.37;Mid;0.122;3.74E+07;1.097;4.10E+07;8.45;1.067;0.163;0.3;0.09;YES;2.459;3.36E+08;29.919;0.169;NO;245.241;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;940.9;518.3;263.4;773.4;NO;10.281;0.242;NO;84.271;2.91
Esi+;Triflumizole;6;68694-11-1;DTXSID2032500;DTXCID0012500;3;505;11.37;High;0.49;1.16E+08;1.772;2.05E+08;8.45;1.067;0.735;1.501;0.394;YES;3.063;4.19E+08;149.85;0.845;NO;305.816;2.923;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;1002.2;518.3;263.4;773.4;NO;51.492;1.212;NO;105.086;2.91
Esi+;Fenpyroximate (Z,E);6;111812-58-9;DTXSID2032550;DTXCID0012550;1;505;12.89;Low;0.024;3.01E+06;0.926;2.79E+06;8.44;1.23;0.024;NA;NA;;NA;1.16E+08;2.037;0.011;YES;84.858;3.404;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;694.4;612.3;357.5;867.3;NO;0.242;0.011;YES;10.104;8.398
Esi+;Fenpyroximate (Z,E);6;111812-58-9;DTXSID2032550;DTXCID0012550;1;505;12.89;Mid;0.122;1.86E+07;1.097;2.04E+07;8.44;1.23;0.121;NA;NA;;NA;1.67E+08;14.874;0.084;YES;121.92;3.404;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;770.3;612.3;357.5;867.3;NO;1.771;0.081;YES;14.517;8.398
Esi+;Fenpyroximate (Z,E);6;111812-58-9;DTXSID2032550;DTXCID0012550;1;505;12.89;High;0.49;6.45E+07;1.772;1.14E+08;8.44;1.23;0.492;NA;NA;;NA;2.33E+08;83.384;0.47;YES;170.172;3.404;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;847.5;612.3;357.5;867.3;NO;9.928;0.452;YES;20.262;8.398
Esi+;Triamterene;6;396-01-0;DTXSID6021373;DTXCID001373;1;506;1.62;Low;0.024;1.40E+06;0.935;1.31E+06;7.94;1.129;0.024;NA;NA;;NA;5.45E+07;0.954;0.005;YES;39.746;2.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;558.7;503.2;248.2;758.3;NO;0.403;0.008;YES;16.772;2.37
Esi+;Triamterene;6;396-01-0;DTXSID6021373;DTXCID001373;1;506;1.62;Mid;0.122;8.07E+06;0.983;7.93E+06;7.94;1.129;0.12;NA;NA;;NA;6.50E+07;5.791;0.033;YES;47.469;2.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;587.9;503.2;248.2;758.3;NO;2.444;0.05;YES;20.032;2.37
Esi+;Triamterene;6;396-01-0;DTXSID6021373;DTXCID001373;1;506;1.62;High;0.49;2.79E+07;1.411;3.94E+07;7.94;1.129;0.495;NA;NA;;NA;8.05E+07;28.783;0.162;YES;58.74;2.846;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;624.9;503.2;248.2;758.3;NO;12.146;0.249;YES;24.788;2.37
Esi+;Ancymidol;6;12771-68-5;DTXSID2034338;DTXCID0014338;1;506;4.19;Low;0.024;1.23E+06;0.935;1.15E+06;7.56;0.899;0.021;NA;NA;;NA;4.79E+07;0.839;0.005;YES;34.943;3.086;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;538.5;550.2;295.3;805.3;NO;0.194;0.006;YES;8.077;4.326
Esi+;Ancymidol;6;12771-68-5;DTXSID2034338;DTXCID0014338;1;506;4.19;Mid;0.122;7.16E+06;0.983;7.04E+06;7.56;0.899;0.159;NA;NA;;NA;5.77E+07;5.138;0.029;YES;42.115;3.086;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;568.1;550.2;295.3;805.3;NO;1.188;0.036;YES;9.734;4.326
Esi+;Ancymidol;6;12771-68-5;DTXSID2034338;DTXCID0014338;1;506;4.19;High;0.49;1.20E+07;1.411;1.70E+07;7.56;0.899;0.424;NA;NA;;NA;3.46E+07;12.381;0.07;YES;25.268;3.086;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;490.6;550.2;295.3;805.3;NO;2.862;0.087;YES;5.84;4.326
Esi+;Fluoxastrobin;6;361377-29-9;DTXSID2034625;DTXCID0014625;1;504;8.77;Low;0.024;2.59E+06;0.952;2.47E+06;7.93;0.941;0.023;NA;NA;;NA;1.03E+08;1.8;0.01;YES;75.012;3.606;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;670.3;651.7;397;906.7;NO;0.149;0.008;YES;6.203;12.092
Esi+;Fluoxastrobin;6;361377-29-9;DTXSID2034625;DTXCID0014625;1;504;8.77;Mid;0.122;1.25E+07;0.98;1.23E+07;7.93;0.941;0.129;NA;NA;;NA;1.01E+08;8.966;0.051;YES;73.495;3.606;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;666.4;651.7;397;906.7;NO;0.742;0.042;YES;6.078;12.092
Esi+;Fluoxastrobin;6;361377-29-9;DTXSID2034625;DTXCID0014625;1;504;8.77;High;0.49;3.93E+07;1.067;4.19E+07;7.93;0.941;0.476;NA;NA;;NA;8.56E+07;30.6;0.173;YES;62.448;3.606;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;636;651.7;397;906.7;NO;2.531;0.142;YES;5.164;12.092
Esi+;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;Low;0.024;2.88E+04;0.76;2.19E+04;5.34;0.609;0.023;NA;NA;;NA;9.12E+05;0.016;0;NO;0.665;1.99;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;171.8;335.9;80.7;591.3;YES;0.111;0;YES;4.624;0.144
Esi+;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;Mid;0.122;8.30E+04;0.769;6.38E+04;5.34;0.609;0.134;NA;NA;;NA;5.23E+05;0.047;0;NO;0.382;1.99;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;146.1;335.9;80.7;591.3;YES;0.324;0.001;YES;2.653;0.144
Esi+;Fluroxypyr;6;69377-81-7;DTXSID2034627;DTXCID0014627;1;501;0.8;High;0.49;1.42E+05;0.963;1.37E+05;5.34;0.609;0.467;NA;NA;;NA;2.79E+05;0.1;0.001;NO;0.204;1.99;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;121.5;335.9;80.7;591.3;YES;0.693;0.002;YES;1.414;0.144
Esi+;Quinoxyfen;6;124495-18-7;DTXSID2034881;DTXCID0014881;1;506;11.47;Low;0.024;3.54E+06;0.935;3.31E+06;8.33;1.115;0.024;NA;NA;;NA;1.38E+08;2.416;0.014;YES;100.684;3.311;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;729.3;594.1;339.3;849.1;NO;0.345;0.014;YES;14.377;7.003
Esi+;Quinoxyfen;6;124495-18-7;DTXSID2034881;DTXCID0014881;1;506;11.47;Mid;0.122;2.10E+07;0.983;2.07E+07;8.33;1.115;0.123;NA;NA;;NA;1.69E+08;15.089;0.085;YES;123.679;3.311;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;773.5;594.1;339.3;849.1;NO;2.155;0.088;YES;17.661;7.003
Esi+;Quinoxyfen;6;124495-18-7;DTXSID2034881;DTXCID0014881;1;506;11.47;High;0.49;6.76E+07;1.411;9.54E+07;8.33;1.115;0.487;NA;NA;;NA;1.95E+08;69.617;0.392;YES;142.076;3.311;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;804.8;594.1;339.3;849.1;NO;9.941;0.406;YES;20.288;7.003
Esi+;Thiamethoxam;6;153719-23-4;DTXSID2034962;DTXCID0014962;1;504;0.85;Low;0.024;9.18E+05;0.952;8.74E+05;6.53;0.38;0.029;NA;NA;;NA;3.64E+07;0.638;0.004;YES;26.568;2.313;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;497.8;399;143.9;654.3;NO;1.76;0.009;YES;73.343;0.362
Esi+;Thiamethoxam;6;153719-23-4;DTXSID2034962;DTXCID0014962;1;504;0.85;Mid;0.122;1.34E+06;0.98;1.31E+06;6.53;0.38;0.084;NA;NA;;NA;1.08E+07;0.96;0.005;YES;7.867;2.313;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;350.8;399;143.9;654.3;NO;2.649;0.014;YES;21.716;0.362
Esi+;Thiamethoxam;6;153719-23-4;DTXSID2034962;DTXCID0014962;1;504;0.85;High;0.49;2.60E+06;1.067;2.78E+06;6.53;0.38;0.6;NA;NA;;NA;5.67E+06;2.027;0.011;YES;4.137;2.313;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;291.5;399;143.9;654.3;NO;5.596;0.029;YES;11.421;0.362
Esi+;4-(4-(Acetyloxy)phenyl)-2-butanone;6;3/6/3572;DTXSID2035481;DTXCID0015481;1;504;3.61;Mid;0.122;1.22E+05;0.98;1.20E+05;5.48;0.437;0.122;NA;NA;;NA;9.80E+05;0.087;0;NO;0.715;2.368;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;175.4;409.8;154.7;665;NO;0.188;0.001;YES;1.54;0.464
Esi+;4-(4-(Acetyloxy)phenyl)-2-butanone;6;3/6/3572;DTXSID2035481;DTXCID0015481;1;504;3.61;High;0.49;2.06E+05;1.067;2.19E+05;5.48;0.437;0.49;NA;NA;;NA;4.48E+05;0.16;0.001;NO;0.327;2.368;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;139.6;409.8;154.7;665;NO;0.345;0.002;NO;0.704;0.464
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;500;2.94;Low;0.024;1.60E+05;0.931;1.49E+05;7.13;1.15;0.02;0.033;0.011;YES;1.383;6.22E+06;0.109;0.001;YES;4.543;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;299.5;556;301.1;811;NO;0.024;0.001;NO;0.982;4.628
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;500;2.94;Mid;0.122;1.61E+06;0.95;1.53E+06;7.13;1.15;0.15;0.246;0.092;YES;2.018;1.25E+07;1.117;0.006;YES;9.159;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;366.5;556;301.1;811;NO;0.241;0.008;YES;1.979;4.628
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;500;2.94;High;0.49;5.65E+06;1.04;5.88E+06;7.13;1.15;0.483;0.852;0.292;YES;1.739;1.20E+07;4.291;0.024;YES;8.758;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;361.8;556;301.1;811;NO;0.927;0.029;YES;1.892;4.628
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;507;2.59;Low;0.024;2.54E+05;0.851;2.16E+05;7.13;1.15;0.027;0.045;0.016;YES;1.879;9.00E+06;0.158;0.001;YES;6.568;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;333.1;556;301.1;811;NO;0.034;0.001;YES;1.419;4.628
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;507;2.59;Mid;0.122;1.12E+06;1.002;1.12E+06;7.13;1.15;0.114;0.186;0.07;YES;1.523;9.16E+06;0.816;0.005;YES;6.687;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;334.8;556;301.1;811;NO;0.176;0.006;YES;1.445;4.628
Esi+;Chlordimeform;6;6164-98-3;DTXSID2037508;DTXCID0017508;2;507;2.59;High;0.49;5.32E+06;1.05;5.59E+06;7.13;1.15;0.462;0.813;0.28;YES;1.659;1.14E+07;4.081;0.023;YES;8.328;3.116;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;356.6;556;301.1;811;NO;0.882;0.028;YES;1.8;4.628
Esi+;Phenothrin;6;26002-80-2;DTXSID7032688;DTXCID00196513;1;506;13.67;Low;0.024;1.10E+06;0.935;1.03E+06;7.78;1.095;0.024;NA;NA;;NA;4.28E+07;0.75;0.004;YES;31.233;3.131;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;521.4;558.9;304.1;814;NO;0.157;0.005;YES;6.524;4.787
Esi+;Phenothrin;6;26002-80-2;DTXSID7032688;DTXCID00196513;1;506;13.67;Mid;0.122;5.92E+06;0.983;5.82E+06;7.78;1.095;0.119;NA;NA;;NA;4.77E+07;4.251;0.024;YES;34.846;3.131;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;538;558.9;304.1;814;NO;0.888;0.029;YES;7.279;4.787
Esi+;Phenothrin;6;26002-80-2;DTXSID7032688;DTXCID00196513;1;506;13.67;High;0.49;1.98E+07;1.411;2.80E+07;7.78;1.095;0.498;NA;NA;;NA;5.71E+07;20.435;0.115;YES;41.704;3.131;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;566.5;558.9;304.1;814;NO;4.269;0.138;YES;8.712;4.787
Esi+;Colchicine;6;64-86-8;DTXSID5024845;DTXCID00207037;1;505;3.59;Low;0.024;1.24E+06;0.926;1.15E+06;7.83;1.082;0.023;NA;NA;;NA;4.79E+07;0.839;0.005;YES;34.959;3.271;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;538.5;586.3;331.5;841.3;NO;0.13;0.005;YES;5.412;6.459
Esi+;Colchicine;6;64-86-8;DTXSID5024845;DTXCID00207037;1;505;3.59;Mid;0.122;6.94E+06;1.097;7.61E+06;7.83;1.082;0.133;NA;NA;;NA;6.24E+07;5.557;0.031;YES;45.553;3.271;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;581;586.3;331.5;841.3;NO;0.86;0.034;YES;7.052;6.459
Esi+;Colchicine;6;64-86-8;DTXSID5024845;DTXCID00207037;1;505;3.59;High;0.49;1.68E+07;1.772;2.98E+07;7.83;1.082;0.469;NA;NA;;NA;6.09E+07;21.786;0.123;YES;44.461;3.271;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;577;586.3;331.5;841.3;NO;3.373;0.131;YES;6.883;6.459
Esi+;Diisopropyl phthalate;6;605-45-8;DTXSID2040731;DTXCID0020731;1;505;8.7;Low;0.024;1.68E+06;0.926;1.56E+06;7.93;1.068;0.023;NA;NA;;NA;6.50E+07;1.138;0.006;YES;47.412;2.603;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;587.7;455.7;200.7;710.9;NO;1;0.012;YES;41.673;1.138
Esi+;Diisopropyl phthalate;6;605-45-8;DTXSID2040731;DTXCID0020731;1;505;8.7;Mid;0.122;8.76E+06;1.097;9.61E+06;7.93;1.068;0.129;NA;NA;;NA;7.88E+07;7.013;0.04;YES;57.486;2.603;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;621.1;455.7;200.7;710.9;NO;6.164;0.076;YES;50.527;1.138
Esi+;Diisopropyl phthalate;6;605-45-8;DTXSID2040731;DTXCID0020731;1;505;8.7;High;0.49;2.20E+07;1.772;3.89E+07;7.93;1.068;0.476;NA;NA;;NA;7.94E+07;28.406;0.16;YES;57.972;2.603;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;622.6;455.7;200.7;710.9;NO;24.968;0.308;YES;50.955;1.138
Esi+;Reserpine;6;50-55-5;DTXSID7021237;DTXCID00208766;1;502;9.49;Low;0.061;3.05E+05;0.884;2.70E+05;6.7;1.049;0.062;NA;NA;;NA;4.42E+06;0.197;0.001;YES;3.23;4.055;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;271.4;739.4;484.8;994.2;NO;0.008;0.001;NO;0.133;24.236
Esi+;Reserpine;6;50-55-5;DTXSID7021237;DTXCID00208766;1;502;9.49;Mid;0.244;1.28E+06;0.838;1.08E+06;6.7;1.049;0.233;NA;NA;;NA;4.41E+06;0.785;0.004;YES;3.218;4.055;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;271.1;739.4;484.8;994.2;NO;0.032;0.003;NO;0.133;24.236
Esi+;Reserpine;6;50-55-5;DTXSID7021237;DTXCID00208766;1;502;9.49;High;0.732;4.02E+06;0.916;3.68E+06;6.7;1.049;0.752;NA;NA;;NA;5.03E+06;2.686;0.015;YES;3.669;4.055;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;281.6;739.4;484.8;994.2;NO;0.111;0.009;NO;0.151;24.236
Esi+;CP-728663;6;368832-42-2;DTXSID1047283;DTXCID00210208;1;506;4.99;Low;0.024;9.79E+05;0.935;9.16E+05;7.93;1.21;0.024;NA;NA;;NA;3.82E+07;0.668;0.004;YES;27.849;3.837;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;504.5;696.9;442.3;951.8;NO;0.038;0.003;YES;1.582;17.607
Esi+;CP-728663;6;368832-42-2;DTXSID1047283;DTXCID00210208;1;506;4.99;Mid;0.122;7.19E+06;0.983;7.07E+06;7.93;1.21;0.127;NA;NA;;NA;5.79E+07;5.159;0.029;YES;42.284;3.837;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;568.7;696.9;442.3;951.8;NO;0.293;0.02;YES;2.402;17.607
