Ionization Mode;name;pH_aq;CAS Registry Number;DTXSID;MS-Ready DTXCID;Number of Mixtures;Mixture;Retention Time;Concentration Level;Concentration (mM);Observed Intensity;Normalization Factor;Normalized Intensity;log-log Calibration Curve Intercept;log-log Calibration Curve Slope;Calibration Curve Concentration Estimate (mM);Upper-Bound Calibration Curve Concentration Estimate (mM);Lower-Bound Calibration Curve Concentration Estimate (mM);True Concentration Within CC-Based Concentration Bounds?;Error Quotient: Upper-Bound Calibration Curve Concentration Estimate / True Concentration;Response Factor;Upper-Bound RF-Based Concentration Estimate (mM);Lower-Bound RF-Based Concentration Estimate (mM);True Concentration Within RF-Based Concentration Bounds?;Error Quotient: Upper-Bound RF-Based Concentration Estimate / True Concentration;logIE;instrument;source;solvent;doi;Box-Cox Transformed Response Factor (l = -0.106);Linear Mixed-Effects Model Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Upper-Bound Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Lower-Bound Transformed Response Factor Estimate;IE-Based RF Imputed with Minimum RF / √2;Upper-Bound IE-Based Concentration Estimate (mM);Lower-Bound IE-Based Concentration Estimate (mM);True Concentration Within IE-Based Concentration Bounds?;Error Quotient: Upper-Bound IE-Based Concentration Estimate / True Concentration;Prediction Quotient: Upper-Bound RF-Based Concentration Estimate / Upper Bound IE-Based Concentration Estimate
Esi-;Chloramphenicol;6;56-75-7;DTXSID7020265;DTXCID00208665;1;506;2.2;Mid;0.122;3.52E+05;1.517;5.34E+05;6.56;0.911;0.121;NA;NA;;NA;4.38E+06;1.929;0.012;YES;15.814;1.169;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.569;7.436;7.954;6.918;NO;2.054;0.014;YES;16.838;0.939
Esi-;Chloramphenicol;6;56-75-7;DTXSID7020265;DTXCID00208665;1;506;2.2;High;0.49;1.27E+06;1.508;1.91E+06;6.56;0.911;0.491;NA;NA;;NA;3.90E+06;6.893;0.042;YES;14.068;1.169;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.546;7.436;7.954;6.918;NO;7.34;0.049;YES;14.979;0.939
Esi-;Zearalenone;6;17924-92-4;DTXSID0021460;DTXCID00209117;1;505;7.97;Low;0.024;7.43E+05;0.609;4.53E+05;7.06;0.844;0.022;NA;NA;;NA;1.89E+07;1.634;0.01;YES;68.094;1.336;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.836;7.454;7.972;6.936;NO;1.628;0.01;YES;67.823;1.004
Esi-;Zearalenone;6;17924-92-4;DTXSID0021460;DTXCID00209117;1;505;7.97;Mid;0.122;3.66E+06;0.621;2.27E+06;7.06;0.844;0.148;NA;NA;;NA;1.86E+07;8.207;0.05;YES;67.272;1.336;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.834;7.454;7.972;6.936;NO;8.175;0.052;YES;67.004;1.004
Esi-;Zearalenone;6;17924-92-4;DTXSID0021460;DTXCID00209117;1;505;7.97;High;0.49;8.97E+06;0.636;5.70E+06;7.06;0.844;0.441;NA;NA;;NA;1.16E+07;20.591;0.126;YES;42.022;1.336;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.752;7.454;7.972;6.936;NO;20.509;0.131;YES;41.855;1.004
Esi-;Bicalutamide;6;90357-06-5;DTXSID2022678;DTXCID00209197;1;506;7.03;Low;0.024;2.36E+05;1.652;3.90E+05;7.19;0.99;0.024;NA;NA;;NA;1.62E+07;1.406;0.009;YES;58.592;1.937;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.811;7.518;8.038;7;NO;1.096;0.006;YES;45.678;1.283
Esi-;Bicalutamide;6;90357-06-5;DTXSID2022678;DTXCID00209197;1;506;7.03;Mid;0.122;1.27E+06;1.517;1.93E+06;7.19;0.99;0.121;NA;NA;;NA;1.58E+07;6.958;0.043;YES;57.033;1.937;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.806;7.518;8.038;7;NO;5.425;0.029;YES;44.463;1.283
Esi-;Bicalutamide;6;90357-06-5;DTXSID2022678;DTXCID00209197;1;506;7.03;High;0.49;5.12E+06;1.508;7.73E+06;7.19;0.99;0.492;NA;NA;;NA;1.58E+07;27.892;0.171;YES;56.923;1.937;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.806;7.518;8.038;7;NO;21.745;0.115;YES;44.377;1.283
Esi-;Carminic acid;6;1260-17-9;DTXSID9022817;DTXCID00209218;1;504;0.44;Mid;0.122;1.80E+05;1.519;2.74E+05;6.39;1.04;0.122;NA;NA;;NA;2.25E+06;0.989;0.006;YES;8.107;2.302;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.432;7.558;8.077;7.039;NO;0.662;0.003;YES;5.429;1.493
Esi-;Carminic acid;6;1260-17-9;DTXSID9022817;DTXCID00209218;1;504;0.44;High;0.49;7.26E+05;1.602;1.16E+06;6.39;1.04;0.49;NA;NA;;NA;2.38E+06;4.201;0.026;YES;8.574;2.302;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.444;7.558;8.077;7.039;NO;2.814;0.013;YES;5.743;1.493
Esi-;Sucralose;6;56038-13-2;DTXSID1040245;DTXCID00209612;1;501;1.05;Mid;0.122;9.39E+04;0.498;4.67E+04;5.88;1.32;0.122;NA;NA;;NA;3.83E+05;0.169;0.001;YES;1.383;1.622;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.019;7.485;8.003;6.966;NO;0.15;0.001;YES;1.227;1.127
Esi-;Sucralose;6;56038-13-2;DTXSID1040245;DTXCID00209612;1;501;1.05;High;0.49;5.32E+05;0.551;2.93E+05;5.88;1.32;0.49;NA;NA;;NA;5.98E+05;1.057;0.006;YES;2.158;1.622;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.13;7.485;8.003;6.966;NO;0.938;0.005;YES;1.915;1.127
Esi-;Nelivaptan;6;439687-69-1;DTXSID7047358;DTXCID00210228;1;505;9.71;Low;0.024;6.82E+04;0.609;4.15E+04;5.83;0.732;0.022;NA;NA;;NA;1.73E+06;0.15;0.001;YES;6.247;1.823;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.376;7.506;8.025;6.988;NO;0.122;0.001;YES;5.104;1.224
Esi-;Nelivaptan;6;439687-69-1;DTXSID7047358;DTXCID00210228;1;505;9.71;Mid;0.122;2.73E+05;0.621;1.69E+05;5.83;0.732;0.149;NA;NA;;NA;1.39E+06;0.611;0.004;YES;5.011;1.823;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.327;7.506;8.025;6.988;NO;0.499;0.003;YES;4.094;1.224
Esi-;Nelivaptan;6;439687-69-1;DTXSID7047358;DTXCID00210228;1;505;9.71;High;0.49;5.87E+05;0.636;3.74E+05;5.83;0.732;0.44;NA;NA;;NA;7.62E+05;1.349;0.008;YES;2.752;1.823;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.189;7.506;8.025;6.988;NO;1.102;0.006;YES;2.249;1.224
Esi-;6-Chloro-2,3-dihydrobenzoxazol-2-one;6;19932-84-4;DTXSID2041545;DTXCID0021545;1;505;3.76;Low;0.024;2.41E+05;0.609;1.47E+05;6.79;0.99;0.023;NA;NA;;NA;6.12E+06;0.53;0.003;YES;22.091;0.666;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.634;7.382;7.9;6.865;NO;0.689;0.005;YES;28.698;0.77
Esi-;6-Chloro-2,3-dihydrobenzoxazol-2-one;6;19932-84-4;DTXSID2041545;DTXCID0021545;1;505;3.76;Mid;0.122;1.40E+06;0.621;8.72E+05;6.79;0.99;0.137;NA;NA;;NA;7.14E+06;3.147;0.019;YES;25.794;0.666;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.663;7.382;7.9;6.865;NO;4.088;0.032;YES;33.508;0.77
Esi-;6-Chloro-2,3-dihydrobenzoxazol-2-one;6;19932-84-4;DTXSID2041545;DTXCID0021545;1;505;3.76;High;0.49;4.53E+06;0.636;2.88E+06;6.79;0.99;0.46;NA;NA;;NA;5.88E+06;10.404;0.064;YES;21.232;0.666;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.626;7.382;7.9;6.865;NO;13.515;0.104;YES;27.582;0.77
Esi-;6-Chlorothymol;6;89-68-9;DTXSID2041547;DTXCID0021547;1;505;9.93;Low;0.024;3.47E+04;0.609;2.12E+04;6.42;1.26;0.022;NA;NA;;NA;8.82E+05;0.076;0;YES;3.183;0.526;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.223;7.367;7.885;6.85;NO;0.105;0.001;YES;4.366;0.729
Esi-;6-Chlorothymol;6;89-68-9;DTXSID2041547;DTXCID0021547;1;505;9.93;Mid;0.122;3.97E+05;0.621;2.46E+05;6.42;1.26;0.152;NA;NA;;NA;2.02E+06;0.889;0.005;YES;7.288;0.526;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.409;7.367;7.885;6.85;NO;1.22;0.01;YES;9.998;0.729
Esi-;6-Chlorothymol;6;89-68-9;DTXSID2041547;DTXCID0021547;1;505;9.93;High;0.49;1.46E+06;0.636;9.27E+05;6.42;1.26;0.435;NA;NA;;NA;1.89E+06;3.345;0.02;YES;6.826;0.526;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.395;7.367;7.885;6.85;NO;4.588;0.037;YES;9.364;0.729
Esi-;Melatonin;6;73-31-4;DTXSID1022421;DTXCID002421;1;502;1.85;Low;0.061;5.76E+04;0.531;3.06E+04;5.67;0.965;0.06;NA;NA;;NA;5.02E+05;0.11;0.001;YES;1.811;0.596;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.087;7.375;7.892;6.857;NO;0.147;0.001;YES;2.418;0.749
Esi-;Melatonin;6;73-31-4;DTXSID1022421;DTXCID002421;1;502;1.85;Mid;0.244;2.57E+05;0.484;1.24E+05;5.67;0.965;0.256;NA;NA;;NA;5.10E+05;0.449;0.003;YES;1.841;0.596;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.091;7.375;7.892;6.857;NO;0.6;0.005;YES;2.459;0.749
Esi-;Melatonin;6;73-31-4;DTXSID1022421;DTXCID002421;1;502;1.85;High;0.732;6.79E+05;0.493;3.35E+05;5.67;0.965;0.713;NA;NA;;NA;4.57E+05;1.209;0.007;YES;1.651;0.596;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.064;7.375;7.892;6.857;NO;1.614;0.013;YES;2.205;0.749
Esi-;E-Cinnamic acid;6;140-10-3;DTXSID5022489;DTXCID002489;1;501;0.93;Mid;0.122;8.93E+04;0.498;4.45E+04;5.71;1.159;0.122;NA;NA;;NA;3.64E+05;0.161;0.001;YES;1.316;-0.407;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.006;7.267;7.783;6.75;NO;0.314;0.003;YES;2.578;0.511
Esi-;E-Cinnamic acid;6;140-10-3;DTXSID5022489;DTXCID002489;1;501;0.93;High;0.49;4.04E+05;0.551;2.23E+05;5.71;1.159;0.49;NA;NA;;NA;4.54E+05;0.804;0.005;YES;1.64;-0.407;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.063;7.267;7.783;6.75;NO;1.575;0.016;YES;3.213;0.511
Esi-;2-(4-Hydroxybenzyl)phenol;6;2467-03-0;DTXSID2044890;DTXCID0024890;1;502;4.6;Low;0.061;5.84E+04;0.531;3.10E+04;5.74;1.023;0.06;NA;NA;;NA;5.08E+05;0.112;0.001;YES;1.835;0.791;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.091;7.396;7.913;6.878;NO;0.138;0.001;YES;2.27;0.809
Esi-;2-(4-Hydroxybenzyl)phenol;6;2467-03-0;DTXSID2044890;DTXCID0024890;1;502;4.6;Mid;0.244;2.73E+05;0.484;1.32E+05;5.74;1.023;0.249;NA;NA;;NA;5.41E+05;0.476;0.003;YES;1.953;0.791;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.106;7.396;7.913;6.878;NO;0.589;0.004;YES;2.415;0.809
Esi-;2-(4-Hydroxybenzyl)phenol;6;2467-03-0;DTXSID2044890;DTXCID0024890;1;502;4.6;High;0.732;7.97E+05;0.493;3.93E+05;5.74;1.023;0.724;NA;NA;;NA;5.37E+05;1.419;0.009;YES;1.939;0.791;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.104;7.396;7.913;6.878;NO;1.755;0.013;YES;2.397;0.809
Esi-;Ethylparaben;6;120-47-8;DTXSID9022528;DTXCID002528;1;501;4;Low;0.024;1.72E+05;0.534;9.19E+04;6.73;1.099;0.025;NA;NA;;NA;3.83E+06;0.332;0.002;YES;13.822;0.133;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.542;7.325;7.842;6.808;NO;0.53;0.005;YES;22.07;0.626
Esi-;Ethylparaben;6;120-47-8;DTXSID9022528;DTXCID002528;1;501;4;Mid;0.122;9.94E+05;0.498;4.95E+05;6.73;1.099;0.114;NA;NA;;NA;4.06E+06;1.787;0.011;YES;14.644;0.133;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.554;7.325;7.842;6.808;NO;2.853;0.025;YES;23.383;0.626
Esi-;Ethylparaben;6;120-47-8;DTXSID9022528;DTXCID002528;1;501;4;High;0.49;4.62E+06;0.551;2.55E+06;6.73;1.099;0.507;NA;NA;;NA;5.20E+06;9.193;0.056;YES;18.76;0.133;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.602;7.325;7.842;6.808;NO;14.678;0.131;YES;29.956;0.626
Esi-;Potassium 6-hydroxynaphthalene-2-sulfonate;6;833-66-9;DTXSID1029201;DTXCID0027014;1;505;0.38;Mid;0.122;8.52E+04;0.621;5.29E+04;5.72;1.094;0.122;NA;NA;;NA;4.34E+05;0.191;0.001;YES;1.566;1.029;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.051;7.421;7.939;6.903;NO;0.215;0.001;YES;1.763;0.888
Esi-;Potassium 6-hydroxynaphthalene-2-sulfonate;6;833-66-9;DTXSID1029201;DTXCID0027014;1;505;0.38;High;0.49;3.81E+05;0.636;2.42E+05;5.72;1.094;0.49;NA;NA;;NA;4.94E+05;0.875;0.005;YES;1.785;1.029;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.084;7.421;7.939;6.903;NO;0.985;0.007;YES;2.01;0.888
Esi-;Besonprodil;6;253450-09-8;DTXSID2047270;DTXCID0027270;1;505;6.16;Low;0.024;5.52E+05;0.609;3.36E+05;6.87;0.807;0.022;NA;NA;;NA;1.40E+07;1.213;0.007;YES;50.532;1.442;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.785;7.465;7.984;6.947;NO;1.158;0.007;YES;48.231;1.048
Esi-;Besonprodil;6;253450-09-8;DTXSID2047270;DTXCID0027270;1;505;6.16;Mid;0.122;2.61E+06;0.621;1.62E+06;6.87;0.807;0.152;NA;NA;;NA;1.33E+07;5.849;0.036;YES;47.94;1.442;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.776;7.465;7.984;6.947;NO;5.582;0.034;YES;45.757;1.048
Esi-;Besonprodil;6;253450-09-8;DTXSID2047270;DTXCID0027270;1;505;6.16;High;0.49;5.94E+06;0.636;3.78E+06;6.87;0.807;0.435;NA;NA;;NA;7.71E+06;13.63;0.084;YES;27.816;1.442;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.677;7.465;7.984;6.947;NO;13.009;0.08;YES;26.55;1.048
Esi-;CP-114271;6;113734-18-2;DTXSID2047274;DTXCID0027274;1;505;2.03;Mid;0.122;1.63E+05;0.621;1.01E+05;5.81;0.884;0.122;NA;NA;;NA;8.29E+05;0.365;0.002;YES;2.993;1.508;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.209;7.472;7.991;6.954;NO;0.339;0.002;YES;2.78;1.076
Esi-;CP-114271;6;113734-18-2;DTXSID2047274;DTXCID0027274;1;505;2.03;High;0.49;5.44E+05;0.636;3.46E+05;5.81;0.884;0.49;NA;NA;;NA;7.06E+05;1.248;0.008;YES;2.547;1.508;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.171;7.472;7.991;6.954;NO;1.16;0.007;YES;2.367;1.076
Esi-;CP-409092;6;194098-25-4;DTXSID2047276;DTXCID0027276;1;506;1.65;Mid;0.122;1.02E+05;1.517;1.55E+05;5.98;0.862;0.122;NA;NA;;NA;1.27E+06;0.56;0.003;YES;4.59;1.185;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.308;7.438;7.956;6.92;NO;0.593;0.004;YES;4.857;0.945
Esi-;CP-409092;6;194098-25-4;DTXSID2047276;DTXCID0027276;1;506;1.65;High;0.49;3.41E+05;1.508;5.14E+05;5.98;0.862;0.49;NA;NA;;NA;1.05E+06;1.856;0.011;YES;3.787;1.185;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.264;7.438;7.956;6.92;NO;1.964;0.013;YES;4.007;0.945
Esi-;PD-0333941;6;501027-49-2;DTXSID2047307;DTXCID0027307;1;505;7.79;Low;0.024;1.23E+05;0.609;7.47E+04;6.26;0.843;0.023;NA;NA;;NA;3.11E+06;0.27;0.002;YES;11.239;1.036;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.5;7.422;7.94;6.904;NO;0.303;0.002;YES;12.62;0.891
Esi-;PD-0333941;6;501027-49-2;DTXSID2047307;DTXCID0027307;1;505;7.79;Mid;0.122;5.40E+05;0.621;3.35E+05;6.26;0.843;0.136;NA;NA;;NA;2.75E+06;1.21;0.007;YES;9.917;1.036;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.474;7.422;7.94;6.904;NO;1.358;0.009;YES;11.135;0.891
Esi-;PD-0333941;6;501027-49-2;DTXSID2047307;DTXCID0027307;1;505;7.79;High;0.49;1.48E+06;0.636;9.43E+05;6.26;0.843;0.463;NA;NA;;NA;1.92E+06;3.404;0.021;YES;6.947;1.036;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.399;7.422;7.94;6.904;NO;3.822;0.027;YES;7.8;0.891
Esi-;UK-156819;6;162706-14-1;DTXSID2047309;DTXCID0027309;1;508;6.78;Mid;0.122;7.55E+04;1.411;1.07E+05;5.87;0.92;0.122;NA;NA;;NA;8.74E+05;0.385;0.002;YES;3.153;0.815;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.221;7.398;7.916;6.88;NO;0.471;0.003;YES;3.864;0.816
