SMILES;pH_aq;name;logIE;instrument;source;solvent;doi
CC(=O)Nc1sc(cn1)[N+]([O-])=O;2.7;2-acetamido-5-nitrothiazole;0.72;Agilent XCT;ESI;0.1% formic acid;Measured in this study
NC[P](O)(O)=O;2.7;AMPA;-0.16;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O;2.7;aldicarb-sulfone;1.43;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC;2.7;thiophanate-methyl;2.64;Agilent XCT;ESI;0.1% formic acid;Measured in this study
Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3;2.7;bifenthrin;-0.87;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1;2.7;phenthoate;2.32;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COc1ccc(C=O)cc1;2.7;p-anisaldehyde;1.56;Agilent XCT;ESI;0.1% formic acid;Measured in this study
Oc1ccc(C=O)cc1;2.7;4-hydroxybenzaldehyde;1.19;Agilent XCT;ESI;0.1% formic acid;Measured in this study
OC(=O)C=Cc1ccccc1;2.7;cinnamic acid;1.2;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4;2.7;scopolamine;3.27;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCO[P](=S)(Oc1ccc(cc1)C#N)c2ccccc2;2.7;cyanophenphos;1.9;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CC1=NN=C(c2ccccc2)C(=O)N1N;2.7;metamitrone;2.55;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CC(C)c1ccc(NC(=O)N(C)C)cc1;2.7;isoproturon;3.04;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CCc1cccc(CC)c1N(COC)C(=O)CCl;2.7;alachlor;1.97;Agilent XCT;ESI;0.1% formic acid;Measured in this study
COc1cc(ccc1O)C(O)CN;2.7;normetanephrine;0.9;Agilent XCT;ESI;0.1% formic acid;Measured in this study
FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl;2.7;tetraconazole;3.37;Agilent XCT;ESI;0.1% formic acid;Measured in this study
CC[N+](CC)(CC)CC;6.08;tetraethylammonium;4.16;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
CN(C)c1ccccc1;6.08;N,N-dimethylaniline;1.55;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;6.08;4-methoxy-N,N-dimethylaniline;2.53;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
c1ccc2ncccc2c1;6.08;quinoline;1.46;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc(N)n1;6.08;2,6-diaminopyridine;3.66;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;6.08;4-aminobenzoic acid;2.35;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc2ccccc12;6.08;1-naphthylamine;2.46;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
NC(CO)(CO)CO;6.08;trizma base;2.62;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
Nc1ccccc1O;6.08;2-aminophenol;2.48;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(N)cc1;6.08;4-methoxyaniline;2.19;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;6.08;8-aminoquinaldine;2.73;Agilent 3Q;JetStream;1 mM ammonium acetate;10.1002/slct.201702269
CC[N+](CC)(CC)CC;3.08;tetraethylammonium;4.16;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
CN(C)c1ccccc1;3.08;N,N-dimethylaniline;2.29;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;3.08;4-methoxy-N,N-dimethylaniline;3.96;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;3.08;quinoline;3.09;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
Nc1cccc(N)n1;3.08;2,6-diaminopyridine;3.91;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;3.08;4-aminobenzoic acid;3.18;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
Nc1cccc2ccccc12;3.08;1-naphthylamine;3.56;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
NC(CO)(CO)CO;3.08;trizma base;2.91;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
Nc1ccccc1O;3.08;2-aminophenol;3.63;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
COc1ccc(N)cc1;3.08;4-methoxyaniline;3.86;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;3.08;8-aminoquinaldine;3.89;Agilent 3Q;JetStream;1 mM formic acid;10.1002/slct.201702269
CN(C)c1ccccc1;7.9;N,N-dimethylaniline;0.86;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;7.9;4-methoxy-N,N-dimethylaniline;2.67;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
c1ccc2ncccc2c1;7.9;quinoline;1.48;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
Nc1cccc(N)n1;7.9;2,6-diaminopyridine;3;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
Nc1cccc2ccccc12;7.9;1-naphthylamine;1.08;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
NC(CO)(CO)CO;7.9;trizma base;2.52;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
Nc1ccccc1O;7.9;2-aminophenol;1.66;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
COc1ccc(N)cc1;7.9;4-methoxyaniline;2.06;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;7.9;8-aminoquinaldine;3.35;Agilent 3Q;JetStream;1 mM methylamine;10.1002/slct.201702269
CC[N+](CC)(CC)CC;9.37;tetraethylammonium;4.16;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
CN(C)c1ccccc1;9.37;N,N-dimethylaniline;1.72;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;9.37;4-methoxy-N,N-dimethylaniline;2.85;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
c1ccc2ncccc2c1;9.37;quinoline;1.72;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
Nc1cccc(N)n1;9.37;2,6-diaminopyridine;3.81;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;9.37;4-aminobenzoic acid;2.58;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
Nc1cccc2ccccc12;9.37;1-naphthylamine;2.78;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
NC(CO)(CO)CO;9.37;trizma base;3.09;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
Nc1ccccc1O;9.37;2-aminophenol;3.43;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
COc1ccc(N)cc1;9.37;4-methoxyaniline;3.51;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;9.37;8-aminoquinaldine;3.95;Agilent 3Q;JetStream;1 mM ammonia;10.1002/slct.201702269
CC[N+](CC)(CC)CC;2.75;tetraethylammonium;4.16;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
CN(C)c1ccccc1;2.75;N,N-dimethylaniline;3.3;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;2.75;4-methoxy-N,N-dimethylaniline;4.01;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;2.75;quinoline;3.27;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
Nc1cccc(N)n1;2.75;2,6-diaminopyridine;3.88;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;2.75;4-aminobenzoic acid;2.99;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
Nc1cccc2ccccc12;2.75;1-naphthylamine;3.41;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
NC(CO)(CO)CO;2.75;trizma base;2.57;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
Nc1ccccc1O;2.75;2-aminophenol;3.48;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
COc1ccc(N)cc1;2.75;4-methoxyaniline;3.62;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;2.75;8-aminoquinaldine;3.91;Agilent 3Q;JetStream;1 mM oxalic acid;10.1002/slct.201702269
CC[N+](CC)(CC)CC;6.77;tetraethylammonium;4.16;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
CN(C)c1ccccc1;6.77;N,N-dimethylaniline;1.66;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;6.77;4-methoxy-N,N-dimethylaniline;2.45;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
c1ccc2ncccc2c1;6.77;quinoline;1.54;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc(N)n1;6.77;2,6-diaminopyridine;3.55;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;6.77;4-aminobenzoic acid;2.4;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc2ccccc12;6.77;1-naphthylamine;2.25;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
NC(CO)(CO)CO;6.77;trizma base;2.61;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
Nc1ccccc1O;6.77;2-aminophenol;2.36;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(N)cc1;6.77;4-methoxyaniline;1.96;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;6.77;8-aminoquinaldine;2.52;Agilent 3Q;JetStream;10 mM ammonium acetate;10.1002/slct.201702269
CC[N+](CC)(CC)CC;10.29;tetraethylammonium;4.16;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
CN(C)c1ccccc1;10.29;N,N-dimethylaniline;1.91;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;10.29;4-methoxy-N,N-dimethylaniline;3.25;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
c1ccc2ncccc2c1;10.29;quinoline;2.14;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
Nc1cccc(N)n1;10.29;2,6-diaminopyridine;3.38;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;10.29;4-aminobenzoic acid;2.93;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
Nc1cccc2ccccc12;10.29;1-naphthylamine;3.13;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
NC(CO)(CO)CO;10.29;trizma base;3.35;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
Nc1ccccc1O;10.29;2-aminophenol;3.51;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
COc1ccc(N)cc1;10.29;4-methoxyaniline;3.51;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;10.29;8-aminoquinaldine;4.1;Agilent 3Q;JetStream;10 mM ammonia;10.1002/slct.201702269
CC[N+](CC)(CC)CC;6.68;tetraethylammonium;4.16;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
CN(C)c1ccccc1;6.68;N,N-dimethylaniline;1.87;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;6.68;4-methoxy-N,N-dimethylaniline;2.57;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
c1ccc2ncccc2c1;6.68;quinoline;1.51;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc(N)n1;6.68;2,6-diaminopyridine;3.76;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;6.68;4-aminobenzoic acid;2.44;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc2ccccc12;6.68;1-naphthylamine;2.5;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
NC(CO)(CO)CO;6.68;trizma base;2.73;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1ccccc1O;6.68;2-aminophenol;2.66;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(N)cc1;6.68;4-methoxyaniline;2.2;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;6.68;8-aminoquinaldine;2.79;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
CN(C)c1ccccc1;6.68;N,N-dimethylaniline;1.59;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;6.68;4-methoxy-N,N-dimethylaniline;3.26;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
c1ccc2ncccc2c1;6.68;quinoline;1.32;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc(N)n1;6.68;2,6-diaminopyridine;3.28;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;6.68;4-aminobenzoic acid;2.36;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1cccc2ccccc12;6.68;1-naphthylamine;2.08;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
NC(CO)(CO)CO;6.68;trizma base;2.4;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Nc1ccccc1O;6.68;2-aminophenol;2.48;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
COc1ccc(N)cc1;6.68;4-methoxyaniline;2.2;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;6.68;8-aminoquinaldine;2.56;Agilent 3Q;JetStream;5 mM ammonium acetate;10.1002/slct.201702269
CC[N+](CC)(CC)CC;5.52;tetraethylammonium;4.16;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
CN(C)c1ccccc1;5.52;N,N-dimethylaniline;2.03;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;5.52;4-methoxy-N,N-dimethylaniline;2.72;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
c1ccc2ncccc2c1;5.52;quinoline;1.95;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
Nc1cccc(N)n1;5.52;2,6-diaminopyridine;4.14;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;5.52;4-aminobenzoic acid;3.17;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
Nc1cccc2ccccc12;5.52;1-naphthylamine;2.48;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
NC(CO)(CO)CO;5.52;trizma base;2.97;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
Nc1ccccc1O;5.52;2-aminophenol;2.57;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
COc1ccc(N)cc1;5.52;4-methoxyaniline;2.34;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;5.52;8-aminoquinaldine;3.1;Agilent 3Q;JetStream;5 mM ammonium formate;10.1002/slct.201702269
CC[N+](CC)(CC)CC;3.15;tetraethylammonium;4.16;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
CN(C)c1ccccc1;3.15;N,N-dimethylaniline;2.27;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;3.15;4-methoxy-N,N-dimethylaniline;4;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;3.15;quinoline;3.4;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
Nc1cccc(N)n1;3.15;2,6-diaminopyridine;4.09;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;3.15;4-aminobenzoic acid;3.46;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
Nc1cccc2ccccc12;3.15;1-naphthylamine;3.98;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
NC(CO)(CO)CO;3.15;trizma base;3.41;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
Nc1ccccc1O;3.15;2-aminophenol;3.88;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
COc1ccc(N)cc1;3.15;4-methoxyaniline;3.74;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;3.15;8-aminoquinaldine;4.46;Agilent 3Q;JetStream;5 mM acetic acid;10.1002/slct.201702269
CC[N+](CC)(CC)CC;2.47;tetraethylammonium;4.16;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
CN(C)c1ccccc1;2.47;N,N-dimethylaniline;3.5;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;2.47;4-methoxy-N,N-dimethylaniline;4.13;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
c1ccc2ncccc2c1;2.47;quinoline;3.53;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
Nc1cccc(N)n1;2.47;2,6-diaminopyridine;4.17;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;2.47;4-aminobenzoic acid;3.96;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
Nc1cccc2ccccc12;2.47;1-naphthylamine;4.25;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
NC(CO)(CO)CO;2.47;trizma base;3.71;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
Nc1ccccc1O;2.47;2-aminophenol;4.11;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
COc1ccc(N)cc1;2.47;4-methoxyaniline;3.9;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;2.47;8-aminoquinaldine;4.56;Agilent 3Q;JetStream;5 mM citric acid;10.1002/slct.201702269
CC[N+](CC)(CC)CC;2.79;tetraethylammonium;4.16;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
CN(C)c1ccccc1;2.79;N,N-dimethylaniline;3.04;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;2.79;4-methoxy-N,N-dimethylaniline;3.93;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;2.79;quinoline;3.04;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1cccc(N)n1;2.79;2,6-diaminopyridine;3.78;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;2.79;4-aminobenzoic acid;3.23;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1cccc2ccccc12;2.79;1-naphthylamine;3.54;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
NC(CO)(CO)CO;2.79;trizma base;2.96;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1ccccc1O;2.79;2-aminophenol;3.48;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
COc1ccc(N)cc1;2.79;4-methoxyaniline;3.51;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Cc1ccc2cccc(N)c2n1;2.79;8-aminoquinaldine;4.01;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
CN(C)c1ccccc1;2.79;N,N-dimethylaniline;2.79;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
COc1ccc(cc1)N(C)C;2.79;4-methoxy-N,N-dimethylaniline;3.74;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
c1ccc2ncccc2c1;2.79;quinoline;2.96;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1cccc(N)n1;2.79;2,6-diaminopyridine;3.42;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
Nc1ccc(cc1)C(O)=O;2.79;4-aminobenzoic acid;3.07;Agilent 3Q;JetStream;5 mM formic acid;10.1002/slct.201702269
